subid,stress_cond,env,trial_start_time,reaction_time,trial_time,reward,state
48238,pre,long,0,847,9983.24765431244,6.85926680730164,0
48238,pre,long,9983.24765431244,720,6783.11626181585,6.37764265956287,0
48238,pre,long,16766.3639161283,683,7073.39768115526,5.67508879320387,0
48238,pre,long,23839.7615972835,540,6166.85266776949,5.2621674648248,0
48238,pre,long,30006.614265053,603,7027.76940498461,4.91347447515997,0
48238,pre,long,37034.3836700376,778,26404.7335272489,NaN,1
48238,pre,long,63439.1171972866,553,7460.12182446702,7.4260178671225,0
48238,pre,long,70899.2390217536,665,6854.17289688121,6.96966172039282,0
48238,pre,long,77753.4119186348,564,6941.39641858601,6.399933831882,0
48238,pre,long,84694.8083372208,613,6747.10065431645,5.65818987285382,0
48238,pre,long,91441.9089915373,582,6660.85210759319,5.3175551209341,0
48238,pre,long,98102.7610991305,597,6717.30821574421,4.42508072245269,0
48238,pre,long,104820.069314875,1021,7565.21685885036,3.98558786363212,0
48238,pre,long,112385.286173725,1112,6940.75288769181,3.66764117715061,0
48238,pre,long,119326.039061417,616,6270.42124212859,3.46304958969884,0
48238,pre,long,125596.460303545,1213,6995.92627956645,3.02705057704779,0
48238,pre,long,132592.386583112,695,6924.10601944354,2.50787534260611,0
48238,pre,long,139516.492602555,748,6931.95796546206,1.82254524215276,0
48238,pre,long,146448.450568017,747,6951.42388617661,2.13827660545352,0
48238,pre,long,153399.874454194,1130,6795.87310629449,1.39180086715771,0
48238,pre,long,160195.747560489,686,6756.97721410781,0.793008066566092,0
48238,pre,long,166952.724774596,870,6835.45203403535,0.237630249579633,0
48238,pre,long,173788.176808632,688,6710.71449311421,0,0
48238,pre,long,180498.891301746,651,6517.79309592803,0.0574758940480008,0
48238,pre,long,187016.684397674,715,6762.93175135652,0,0
48238,pre,long,193779.616149031,598,6709.20106962786,0,0
48238,pre,long,200488.817218658,678,25489.770861127,NaN,1
48238,pre,long,225978.588079785,555,7128.84326012954,7.24801143409339,0
48238,pre,long,233107.431339915,647,6349.66047720809,7.17101906313945,0
48238,pre,long,239457.091817123,554,6296.40187615587,6.31465622395215,0
48238,pre,long,245753.493693279,554,6265.39032380789,5.61241172004996,0
48238,pre,long,252018.884017087,696,6375.86589274358,5.18262250191133,0
48238,pre,long,258394.74990983,671,6579.01070062694,4.96926312835168,0
48238,pre,long,264973.760610457,489,6147.50565608026,4.81648637206307,0
48238,pre,long,271121.266266538,680,6431.68479074573,4.40407296885085,0
48238,pre,long,277552.951057283,685,6845.30489103234,3.85895031780223,0
48238,pre,long,284398.255948316,656,6817.67138207401,3.42328977036819,0
48238,pre,long,291215.92733039,3648,9791.51771764189,2.83741145876489,0
48238,pre,separator,301007.445048032,NaN,31201.5567205917,NaN,1
48238,pre,short,332209.001768623,536,8014.83597468084,1.99796393203288,0
48238,pre,short,340223.837743304,562,6795.63173282897,1.519432837336,0
48238,pre,short,347019.469476133,648,6297.38040655776,1.29051784608677,0
48238,pre,short,353316.849882691,615,7766.47452917404,0.819342982577608,0
48238,pre,short,361083.324411865,1613,8614.88053593528,0.34656541887724,0
48238,pre,short,369698.2049478,479,10286.7141486331,NaN,1
48238,pre,short,379984.919096433,731,6485.95589620888,6.44717146884268,0
48238,pre,short,386470.874992642,730,6509.76772445667,5.69119588365962,0
48238,pre,short,392980.642717099,747,6430.86862449127,5.356272005092,0
48238,pre,short,399411.51134159,532,6283.34598140826,4.64525453501084,0
48238,pre,short,405694.857322998,594,6294.72095291567,4.25998671115717,0
48238,pre,short,411989.578275914,680,6860.7820263278,3.67853362689352,0
48238,pre,short,418850.360302242,880,6619.24540570728,3.23713948021826,0
48238,pre,short,425469.605707949,748,6511.64419575798,2.55808621829367,0
48238,pre,short,431981.249903707,816,6593.31573269085,2.19709888357744,0
48238,pre,short,438574.565636398,932,10764.2448862207,NaN,1
48238,pre,short,449338.810522619,597,7061.6782290226,7.39369348843729,0
48238,pre,short,456400.488751641,521,6316.38570294768,6.84344682054672,0
48238,pre,short,462716.874454589,772,6893.42354090512,5.95221447125826,0
48238,pre,short,469610.297995494,634,6361.45301296073,5.43972138162936,0
48238,pre,short,475971.751008455,507,6214.89862907038,5.18246619233644,0
48238,pre,short,482186.649637525,765,6567.24897850835,4.61542202171226,0
48238,pre,short,488753.898616033,362,6711.06094897276,3.9509116697071,0
48238,pre,short,495464.959565006,754,10593.5823891386,NaN,1
48238,pre,short,506058.541954145,680,7514.91202114994,7.1478970258138,0
48238,pre,short,513573.453975295,834,7009.2713484164,6.8439424568858,0
48238,pre,short,520582.725323711,513,6954.25004947907,6.39666188427819,0
48238,pre,short,527536.97537319,621,6813.0331400634,5.76029371993255,0
48238,pre,short,534350.008513254,838,7963.76395650266,4.85382158876473,0
48238,pre,short,542313.772469756,483,6847.16714065685,4.22401262830723,0
48238,pre,short,549160.939610413,48,10338.6615900545,NaN,1
48238,pre,short,559499.601200468,964,7636.99603412708,7.02356516647173,0
48238,pre,short,567136.597234595,417,6794.55325563869,6.78218689137804,0
48238,pre,short,573931.150490233,470,6280.02877519338,7.00268152265124,0
48238,pre,short,580211.179265427,414,6165.24166777614,6.4788769057747,0
48238,pre,short,586376.420933203,1513,7225.00629111624,5.356588251839,0
48238,pre,short,593601.427224319,514,6951.12562600116,4.91120522021345,0
48238,pre,short,600552.55285032,514,6774.23798475682,4.10169730026519,0
48238,pre,short,607326.790835077,547,10360.5993172806,NaN,1
48238,pre,short,617687.390152358,1997,9150.85012050893,7.13863265186645,0
48238,pre,short,626838.240272867,412,10921.5978686443,NaN,1
48238,pre,bad,637759.838141511,NaN,21141.6210420775,NaN,1
48238,pre,bad,658901.459183589,NaN,NaN,NaN,1
