subid,stress_cond,env,trial_start_time,reaction_time,trial_time,reward,state
47324,post,short,0,453,11601.0185643863,6.83170664305237,0
47324,post,short,11601.0185643863,413,5995.48472271999,6.41432955640201,0
47324,post,short,17596.5032871063,368,5966.27763385186,5.54606192817865,0
47324,post,short,23562.7809209582,562,10326.085187442,NaN,1
47324,post,short,33888.8661084002,461,6117.73773152163,6.50173254271027,0
47324,post,short,40006.6038399218,416,6607.00140554218,5.95254037909134,0
47324,post,short,46613.605245464,1531,11334.695817266,NaN,1
47324,post,short,57948.30106273,448,6156.98943590905,6.70319175254962,0
47324,post,short,64105.2904986391,406,6030.05918450071,5.98328040421366,0
47324,post,short,70135.3496831398,749,10511.5939521365,NaN,1
47324,post,short,80646.9436352763,415,7750.00730819193,7.11416773466725,0
47324,post,short,88396.9509434683,513,6142.9675840227,6.84583540330579,0
47324,post,short,94539.918527491,398,10127.2095428376,NaN,1
47324,post,short,104667.128070329,518,7548.7642045573,7.20818137819701,0
47324,post,short,112215.892274886,780,6676.52482454469,6.2307305847511,0
47324,post,short,118892.417099431,465,10646.1456597626,NaN,1
47324,post,short,129538.562759193,456,6082.6335246111,7.1119832298505,0
47324,post,short,135621.196283804,413,6025.93538926519,6.84453845927313,0
47324,post,short,141647.131673069,1039,10731.6771786118,NaN,1
47324,post,short,152378.808851681,545,6161.85432127531,6.93554186377187,0
47324,post,short,158540.663172957,450,6083.67523818742,6.40050307441997,0
47324,post,short,164624.338411144,537,6109.82434267679,6.25990178374068,0
47324,post,short,170734.162753821,1030,11143.6553441054,NaN,1
47324,post,short,181877.818097926,496,6136.63552981958,7.15085147279196,0
47324,post,short,188014.453627746,778,6413.01908899733,6.64021037224711,0
47324,post,short,194427.472716743,1165,10904.0738625099,NaN,1
47324,post,short,205331.546579253,383,5947.43040033791,7.4174574972227,0
47324,post,short,211278.976979591,563,6137.06651560459,7.01280281722353,0
47324,post,short,217416.043495195,421,6525.08961422971,6.47539139875623,0
47324,post,short,223941.133109425,648,10392.7651273643,NaN,1
47324,post,short,234333.89823679,514,6105.80878768631,7.16603395983165,0
47324,post,short,240439.707024476,707,7223.34149480594,6.7425761303656,0
47324,post,short,247663.048519282,663,6293.92361399188,6.37763027897689,0
47324,post,short,253956.972133274,515,10229.0229224382,NaN,1
47324,post,short,264185.995055712,670,6251.9635333101,7.23872562980707,0
47324,post,short,270437.958589022,397,6013.88082354242,6.3831493133402,0
47324,post,short,276451.839412564,539,10254.4629348267,NaN,1
47324,post,short,286706.302347391,548,7463.45627686789,6.91979128745201,0
47324,post,short,294169.758624259,467,6054.07390201255,6.28617136806773,0
47324,post,short,300223.832526272,489,10191.2664345436,NaN,1
47324,post,separator,310415.098960815,NaN,31164.7167621467,NaN,1
47324,post,long,341579.815722962,397,6032.81220001919,6.97779294778128,0
47324,post,long,347612.627922981,450,6128.9560031055,6.28352696826745,0
47324,post,long,353741.583926087,139,24940.2355844941,NaN,1
47324,post,long,378681.819510581,521,6949.3625281757,6.58064041781632,0
47324,post,long,385631.182038756,431,25437.7397383105,NaN,1
47324,post,long,411068.921777067,372,6740.49046261277,6.89847566794607,0
47324,post,long,417809.41223968,389,6035.65409894875,6.76708889209615,0
47324,post,long,423845.066338628,567,25405.8222979638,NaN,1
47324,post,long,449250.888636592,747,6443.30423487921,7.11677692906413,0
47324,post,long,455694.192871471,631,6275.70488495257,6.81483483737718,0
47324,post,long,461969.897756424,547,25388.6093341025,NaN,1
47324,post,long,487358.507090526,513,6195.04022665572,7.1789207842151,0
47324,post,long,493553.547317182,471,25272.8685165475,NaN,1
47324,post,long,518826.41583373,466,6144.10687183414,6.86810013615371,0
47324,post,long,524970.522705564,466,6519.72816687706,6.3129308951864,0
47324,post,long,531490.250872441,496,25331.1969711685,NaN,1
47324,post,long,556821.447843609,481,6730.49127639015,7.04491199685561,0
47324,post,long,563551.93912,484,25288.9429826738,NaN,1
47324,post,long,588840.882102673,464,6743.59703658777,7.09640714467658,0
47324,post,long,595584.479139261,585,6230.55724763253,6.60222986116842,0
47324,post,long,601815.036386894,481,25276.8161251097,NaN,1
47324,post,long,627091.852512003,1232,6856.75746995909,7.29941229012467,0
47324,post,long,633948.609981962,547,25289.2108180204,NaN,1
47324,post,bad,659237.820799983,NaN,21138.6182224414,NaN,1
47324,post,bad,680376.439022424,NaN,21088.7720104966,NaN,1
47324,post,bad,701465.211032921,NaN,NaN,NaN,1
