subid,stress_cond,env,trial_start_time,reaction_time,trial_time,reward,state
47204,post,long,0,815,9475.37386190197,7.05118788531817,0
47204,post,long,9475.37386190197,755,6982.17361350362,6.81399694693129,0
47204,post,long,16457.5474754056,1163,6904.80821800884,6.53919443825895,0
47204,post,long,23362.3556934144,728,6986.99739592303,6.28857038001981,0
47204,post,long,30349.3530893375,697,6421.32545579261,5.78089228763091,0
47204,post,long,36770.6785451301,1032,6698.98072857177,5.3037065725672,0
47204,post,long,43469.6592737018,863,6960.73106909353,4.71613382978704,0
47204,post,long,50430.3903427954,651,6628.00227224579,4.14552311231145,0
47204,post,long,57058.3926150412,599,6563.98276695836,3.86551177396773,0
47204,post,long,63622.3753819995,939,6629.01790934302,3.48920607353319,0
47204,post,long,70251.3932913425,705,7133.17092094076,2.797755389957,0
47204,post,long,77384.5642122833,646,6335.56910440529,2.13126405652555,0
47204,post,long,83720.1333166886,730,6810.85368821186,1.62035451451655,0
47204,post,long,90530.9870049005,499,6324.07079673976,1.10126706623241,0
47204,post,long,96855.0578016402,997,6648.69701384669,0.659420403492007,0
47204,post,long,103503.754815487,561,6762.86197132322,0.113116959926075,0
47204,post,long,110266.61678681,508,6671.15322017344,0,0
47204,post,long,116937.770006984,878,25868.4293691749,NaN,1
47204,post,long,142806.199376158,4171,10528.6716999508,7.18761341040977,0
47204,post,long,153334.871076109,504,6291.47362582808,6.84545989856764,0
47204,post,long,159626.344701937,498,6260.34598817385,6.54861572315229,0
47204,post,long,165886.690690111,1071,6815.72685011089,6.19765984353901,0
47204,post,long,172702.417540222,743,6504.78348876641,5.46607519661407,0
47204,post,long,179207.201028988,922,6703.43041206981,5.17872843719235,0
47204,post,long,185910.631441058,800,6504.59584675264,4.66602465911152,0
47204,post,long,192415.227287811,532,6290.72977337454,4.22629297823859,0
47204,post,long,198705.957061185,780,6516.08072320049,4.09317836056668,0
47204,post,long,205222.037784386,4418,10142.4052783113,3.87857434319339,0
47204,post,long,215364.443062697,606,6345.74641228392,3.21347097282617,0
47204,post,long,221710.189474981,540,6319.52195925079,2.61609550990383,0
47204,post,long,228029.711434232,697,6473.54524108232,1.73976278176848,0
47204,post,long,234503.256675314,478,6195.54944742413,1.16650435566258,0
47204,post,long,240698.806122738,790,6535.75666741561,0.634554262337367,0
47204,post,long,247234.562790154,548,6242.56542583136,0.0449131212006583,0
47204,post,long,253477.128215985,638,6400.45966368233,0,0
47204,post,long,259877.587879668,529,26223.6590114008,NaN,1
47204,post,long,286101.246891069,845,6705.14526257099,7.32502234506294,0
47204,post,long,292806.39215364,4548,10281.3354264963,6.91384332628544,0
47204,post,separator,303087.727580136,NaN,31280.6792719967,NaN,1
47204,post,short,334368.406852132,432,8363.8023145941,6.21010903501485,0
47204,post,short,342732.209166727,782,7122.31928691285,5.96733647174043,0
47204,post,short,349854.528453639,598,6386.65750710241,5.06557075315884,0
47204,post,short,356241.185960742,682,6438.67898441025,4.77040783157512,0
47204,post,short,362679.864945152,579,6341.4464473644,3.75839689031562,0
47204,post,short,369021.311392516,689,6496.69394520792,3.43645261991055,0
47204,post,short,375518.005337724,738,7182.14706709475,2.71458235430633,0
47204,post,short,382700.152404819,896,6689.84355001338,2.28887789191806,0
47204,post,short,389389.995954833,656,7081.78466123354,2.02150679524693,0
47204,post,short,396471.780616066,912,7360.0435487497,1.70001594819725,0
47204,post,short,403831.824164816,906,7306.99932369863,1.19023765289961,0
47204,post,short,411138.823488514,683,7157.50749777909,0.832292285412146,0
47204,post,short,418296.330986293,753,6575.31713475689,0,0
