subid,stress_cond,env,trial_start_time,reaction_time,trial_time,reward,state
47131,post,short,0,647,14121.6600576918,NaN,1
47131,post,short,14121.6600576918,410,6488.15085371461,7.49040029644244,0
47131,post,short,20609.8109114064,664,6396.79450866424,6.45793105608583,0
47131,post,short,27006.6054200706,582,6350.79951615808,5.96757443575209,0
47131,post,short,33357.4049362287,718,6510.9081672399,5.61480576750506,0
47131,post,short,39868.3131034686,581,6262.74963399919,5.08367870537572,0
47131,post,short,46131.0627374678,605,6311.31394963813,4.66917581602252,0
47131,post,short,52442.3766871059,673,6432.08280299586,3.91063801352627,0
47131,post,short,58874.4594901018,679,6379.36980476479,3.72173487962807,0
47131,post,short,65253.8292948666,1,9849.92055798284,NaN,1
47131,post,short,75103.7498528494,487,6243.8166773718,6.58039140357602,0
47131,post,short,81347.5665302212,566,6244.7710876877,6.34847440985845,0
47131,post,short,87592.3376179089,814,6499.31816547905,5.77008253590795,0
47131,post,short,94091.655783388,773,6515.67231806985,5.08275408787375,0
47131,post,short,100607.328101458,532,6330.46773216302,4.60375055226846,0
47131,post,short,106937.795833621,593,6288.43180430158,3.64757584990992,0
47131,post,short,113226.227637922,569,6266.76360883903,3.21677748868592,0
47131,post,short,119492.991246761,1,9811.07376691034,NaN,1
47131,post,short,129304.065013672,522,6250.72904149056,6.90899536343634,0
47131,post,short,135554.794055162,421,6143.79558237488,6.3685604908017,0
47131,post,short,141698.589637537,412,6115.16801334984,5.47055199983684,0
47131,post,short,147813.757650887,698,6443.44565826212,5.35127334484491,0
47131,post,short,154257.203309149,613,6318.96503366079,4.90819868650425,0
47131,post,short,160576.16834281,490,6227.39418331184,3.96449607172007,0
47131,post,short,166803.562526122,513,6250.88468621834,3.24675211920043,0
47131,post,short,173054.44721234,1,13852.2888070893,NaN,1
47131,post,short,186906.736019429,563,6232.18717187227,6.83316133154563,0
47131,post,short,193138.923191302,521,6300.25803841816,6.24962588323672,0
47131,post,short,199439.18122972,496,6146.58889170643,5.70366156622327,0
47131,post,short,205585.770121426,681,6497.77870479919,4.74661128452785,0
47131,post,short,212083.548826226,556,6293.45114928222,4.71695277512415,0
47131,post,short,218376.999975508,781,6510.95912706293,4.27548356809369,0
47131,post,short,224887.959102571,566,6229.93111338111,3.4600634536935,0
47131,post,short,231117.890215952,1,9816.16935410601,NaN,1
47131,post,short,240934.059570058,671,6413.45560530317,6.96587857488385,0
47131,post,short,247347.515175361,747,6825.39584720874,6.35357292907027,0
47131,post,short,254172.91102257,815,6487.6764138189,6.06105256545392,0
47131,post,short,260660.587436389,1442,7258.26319444604,5.6760970521423,0
47131,post,short,267918.850630835,812,6549.36782167718,5.56756982513761,0
47131,post,short,274468.218452512,780,6491.28468527121,5.38865943054463,0
47131,post,short,280959.503137783,889,6581.33306154743,4.62357372741101,0
47131,post,short,287540.83619933,763,6479.51533653575,4.05288860319293,0
47131,post,short,294020.351535866,605,6285.60886716697,3.58113510628729,0
47131,post,short,300305.960403033,3,9812.93755328079,NaN,1
47131,post,separator,310118.897956314,NaN,31261.9887919991,NaN,1
47131,post,long,341380.886748313,862,6580.45133810991,6.84634889742508,0
47131,post,long,347961.338086423,448,6151.34948720149,6.51630659721107,0
47131,post,long,354112.687573624,558,6308.99587028037,6.14729184089578,0
47131,post,long,360421.683443905,482,6214.52031005721,5.62366488558967,0
47131,post,long,366636.203753962,564,6287.22852043388,4.95101595031904,0
47131,post,long,372923.432274396,615,6320.23033839685,4.41873473897151,0
47131,post,long,379243.662612793,627,6447.63937511382,4.05207688301714,0
47131,post,long,385691.301987907,644,6347.89836162236,3.47298576613218,0
47131,post,long,392039.200349529,465,6147.29679869564,2.96685651581461,0
47131,post,long,398186.497148225,679,6366.548471482,2.56281437748284,0
47131,post,long,404553.045619707,478,6226.17193765106,1.63325553028714,0
47131,post,long,410779.217557358,1,26104.8804498369,NaN,1
47131,post,long,436884.098007195,631,6359.67166072986,7.07949601585368,0
47131,post,long,443243.769667924,765,6520.63438263029,6.71740706645011,0
47131,post,long,449764.404050555,863,6629.20606177067,5.77827608136202,0
47131,post,long,456393.610112325,660,6427.45612517319,5.28724529782268,0
47131,post,long,462821.066237499,687,6414.59489311458,4.66123696900001,0
47131,post,long,469235.661130613,637,6415.95974727167,4.25478976503127,0
47131,post,long,475651.620877885,614,6377.02328271192,4.07712768381982,0
47131,post,long,482028.644160597,593,6350.75882730779,3.46426114732766,0
47131,post,long,488379.402987905,568,6272.48730547394,2.91672884141126,0
47131,post,long,494651.890293378,773,6538.73223023041,2.08050949668682,0
47131,post,long,501190.622523609,1,24932.2139554079,NaN,1
47131,post,long,526122.836479017,513,6263.59935940662,6.53929264886352,0
47131,post,long,532386.435838423,527,6233.6717223553,5.86989732644842,0
47131,post,long,538620.107560779,631,6395.50905702158,5.83750348108515,0
47131,post,long,545015.6166178,638,6443.80277205713,5.3696894125762,0
47131,post,long,551459.419389857,615,6312.43348558014,4.67042527153801,0
47131,post,long,557771.852875438,648,6394.22755575471,4.27724163583856,0
47131,post,long,564166.080431192,548,6256.2176908796,3.96926736034161,0
47131,post,long,570422.298122072,521,6354.50970725284,4.02027306644768,0
47131,post,long,576776.807829325,496,6251.06442822656,3.05417002113468,0
47131,post,long,583027.872257551,519,6278.25919666793,2.77036007769239,0
47131,post,long,589306.131454219,496,6246.8165912542,2.39851837257251,0
47131,post,long,595552.948045473,487,6279.5320071145,1.64913226533565,0
47131,post,long,601832.480052588,2,25509.9020070265,NaN,1
47131,post,long,627342.382059614,701,6455.18142881885,7.02835452826893,0
47131,post,long,633797.563488433,665,6304.82506559568,6.62879118598391,0
47131,post,long,640102.388554029,745,6490.30104218761,5.75977593536818,0
47131,post,bad,646592.689596217,NaN,NaN,NaN,1
