subid,stress_cond,env,trial_start_time,reaction_time,trial_time,reward,state
43000,pre,short,0,1,8752.27542431134,7.15102494163776,0
43000,pre,short,8752.27542431134,604,6325.72778024456,6.6385740341243,0
43000,pre,short,15078.0032045559,515,6927.68930661185,6.35780583607349,0
43000,pre,short,22005.6925111678,549,6692.76241251862,5.67319039477601,0
43000,pre,short,28698.4549236864,843,7116.82526163429,5.06179279282236,0
43000,pre,short,35815.2801853207,763,6979.94821829536,4.6929328937213,0
43000,pre,short,42795.228403616,714,6996.20288568045,4.25421006541047,0
43000,pre,short,49791.4312892965,1,15946.9126916532,NaN,1
43000,pre,short,65738.3439809496,473,7325.46349919176,6.69202864901345,0
43000,pre,short,73063.8074801414,570,6929.53255831964,6.11414974769094,0
43000,pre,short,79993.340038461,845,7119.39103956865,5.78080525032134,0
43000,pre,short,87112.7310780297,678,6925.01884335758,5.04843669372262,0
43000,pre,short,94037.7499213873,554,6735.72013229062,4.40369312645069,0
43000,pre,short,100773.470053678,671,10938.5208793883,NaN,1
43000,pre,short,111711.990933066,600,6711.78630289376,7.09112856588989,0
43000,pre,short,118423.77723596,687,6988.17332412626,6.19471345916482,0
43000,pre,short,125411.950560086,745,6807.54255754534,6.23042684761325,0
43000,pre,short,132219.493117632,630,6710.44712087716,5.87616943501962,0
43000,pre,short,138929.940238509,1114,6964.54683502702,5.38257409196345,0
43000,pre,short,145894.487073536,612,6795.88614345601,5.31161687113449,0
43000,pre,short,152690.373216992,2246,8013.28594972895,4.2985565910362,0
43000,pre,short,160703.659166721,735,10562.1712288398,NaN,1
43000,pre,short,171265.83039556,488,6118.1454817816,7.21268357272744,0
43000,pre,short,177383.975877342,690,6772.65903872802,6.67204726065202,0
43000,pre,short,184156.63491607,447,6582.79581701162,6.14265575476229,0
43000,pre,short,190739.430733082,572,6285.48911351681,5.48103111033615,0
43000,pre,short,197024.919846598,545,6141.58985792819,4.91398475128682,0
43000,pre,short,203166.509704527,480,6065.02538520246,4.55100581848273,0
43000,pre,short,209231.535089729,512,6110.15739931646,4.12409680680537,0
43000,pre,short,215341.692489046,513,10793.9220098317,NaN,1
43000,pre,short,226135.614498877,480,6147.0481110028,6.76369296961296,0
43000,pre,short,232282.66260988,511,6119.15085589135,6.45437598697382,0
43000,pre,short,238401.813465771,504,6525.82290562207,6.1281332169396,0
43000,pre,short,244927.636371394,481,6416.79847799393,5.6281501344052,0
43000,pre,short,251344.434849387,972,6775.12052638154,5.12785527476724,0
43000,pre,short,258119.555375769,896,6521.25625544158,4.43331844595813,0
43000,pre,short,264640.811631211,621,10378.5298704746,NaN,1
43000,pre,short,275019.341501685,539,6212.39821821643,7.01267659321092,0
43000,pre,short,281231.739719902,596,6197.10586569627,6.5322759750906,0
43000,pre,short,287428.845585598,563,6807.85029288189,6.0065497623962,0
43000,pre,short,294236.69587848,496,6188.01167419076,5.58896168284887,0
43000,pre,short,300424.707552671,637,6306.01573203091,5.00046817802118,0
43000,pre,separator,306730.723284701,NaN,31184.6439672022,NaN,1
43000,pre,long,337915.367251904,581,7954.43541824364,4.71549370075782,0
43000,pre,long,345869.802670147,538,6811.63081556576,3.84227381667895,0
43000,pre,long,352681.433485713,632,6342.13848801213,2.61306754412599,0
43000,pre,long,359023.571973725,581,6267.7092007731,2.37220946480948,0
43000,pre,long,365291.281174498,2262,7979.15498009784,1.77135042998456,0
43000,pre,long,373270.436154596,598,6360.45091325103,1.09911569884303,0
43000,pre,long,379630.887067847,681,25585.2968085594,NaN,1
43000,pre,long,405216.183876407,548,6330.32524346252,6.93157359172333,0
43000,pre,long,411546.509119869,861,7134.91765018192,6.53959942700287,0
43000,pre,long,418681.426770051,593,6574.08481328096,5.98782197471492,0
43000,pre,long,425255.511583332,583,6746.28742401418,5.14962959721125,0
43000,pre,long,432001.799007346,613,6702.14142710192,4.33809785173643,0
43000,pre,long,438703.940434448,702,6925.53634437284,4.1816958731303,0
43000,pre,long,445629.476778821,664,6545.9501397647,3.97661928790256,0
43000,pre,long,452175.426918586,670,6427.3685349903,3.26319996531168,0
43000,pre,long,458602.795453576,566,6881.07431630598,2.88888933572748,0
43000,pre,long,465483.869769882,630,6964.03288936231,2.83225309122791,0
43000,pre,long,472447.902659244,823,6563.32355743623,1.96248503718784,0
43000,pre,long,479011.22621668,526,6596.66207894782,1.6421127032208,0
43000,pre,long,485607.888295628,597,6718.96495056478,0.908407874099061,0
43000,pre,long,492326.853246193,445,25332.5086237002,NaN,1
43000,pre,long,517659.361869893,547,6282.25650984666,7.28584817649145,0
43000,pre,long,523941.61837974,645,6678.71008724044,7.09029030187009,0
43000,pre,long,530620.32846698,532,6660.30482784996,6.74176599055393,0
43000,pre,long,537280.63329483,663,6631.25998460932,6.36598318402611,0
43000,pre,long,543911.89327944,549,6731.24987161229,5.77147970950422,0
43000,pre,long,550643.143151052,531,6678.25895276747,5.16798175526403,0
43000,pre,long,557321.402103819,597,6638.31103470176,4.63607679518089,0
