participant,environment,aperiodic_exponent_avg,beta_power_avg,CZ_aperiodic_exponent,FZ_aperiodic_exponent
31730,poststress_long,1.249901801882353,6.187188235294117e-12,1.4475478374705881,1.0128915657058826
31730,poststress_short,1.3516108130487805,5.370731707317073e-13,1.5054964174878047,0.44726181617073174
31730,prestress_long,1.28694253946875,2.7271874999999996e-13,1.5148467376875,1.27025097559375
31730,prestress_short,1.4947776579268293,3.6682926829268296e-13,1.6375945018292684,1.2701740251219513
43000,poststress_long,1.7922376988205129,9.352564102564101e-14,1.704199830666667,1.853449325974359
43000,poststress_short,1.8680142884772726,1.1055454545454548e-13,1.9064440114999999,1.775238214090909
43000,prestress_long,1.7247995663076925,1.2537692307692305e-13,1.8812806448717954,1.787769632025641
43000,prestress_short,1.7771161663571429,1.1635238095238097e-13,1.8999018464285715,1.922775639
47131,poststress_long,1.7285260716052633,1.2951052631578947e-13,1.9449094230526318,1.2295674223421054
47131,poststress_short,1.389103023431818,1.9177272727272726e-13,1.6175223362272724,1.0620727835909092
47131,prestress_long,1.4605772835641027,2.176153846153846e-13,1.745684609153846,0.9441114036410255
47131,prestress_short,1.4383515706363634,2.7056818181818184e-13,1.788194596340909,0.9602697012954544
47204,poststress_long,1.580624834973684,2.2505e-13,1.8095185795263158,1.7981552620526315
47204,poststress_short,1.746628456255814,8.69186046511628e-14,1.7492174986976743,1.743152788604651
47204,prestress_long,1.661239932810811,1.2519729729729728e-13,1.7503571837297298,1.7220859345405406
47204,prestress_short,1.45708055575,1.4756249999999998e-13,1.486397277,1.6806661289374998
47324,poststress_long,1.6262480885217392,8.812173913043477e-14,1.5584377655652175,1.8015141162608694
47324,poststress_short,1.5021000819750001,9.355250000000001e-14,1.573359312375,1.627422340875
47324,prestress_long,2.242662635607143,8.801428571428571e-14,2.1543611158571423,2.452432423392857
47324,prestress_short,2.0921597061500004,7.06725e-14,2.0152328796,2.17118744825
48238,poststress_long,1.7508399725641026,4.4789743589743596e-14,1.792642771128205,1.9803884460000005
48238,poststress_short,1.717732272955556,4.9477777777777785e-14,1.650718881866667,1.8053588090666668
48238,prestress_long,1.8849261217027027,6.133243243243244e-14,1.9614228874594595,1.9411294293783787
48238,prestress_short,2.131488588585366,1.304780487804878e-13,2.255630823292683,2.137567891219512
