Parameter,Pre-Mean,Post-Mean,Percent Change,t-statistic,p-value,Significant
CZ Aperiodic Exponent,1.8448173021194691,1.6951255719871794,-8.114176398948139,3.7620580135799324,0.00017920578763572622,True
FZ Aperiodic Exponent,1.6698078412632742,1.5062378233675213,-9.795738997848149,3.48261465664766,0.000519976008775862,True
CZ Beta Power,7.63438053097345e-14,1.2505529914529914e-12,1538.0543075883786,-0.9802453747790151,0.32722326973572424,False
FZ Beta Power,2.753028761061946e-13,6.237155982905983e-13,126.55615048860147,-2.239321950678026,0.025373772349402007,True
Average Aperiodic Exponent,1.7175459877300885,1.6133425537905985,-6.066995276045294,3.2770555909087773,0.0010883085137237567,True
Average Beta Power,1.6858407079646018e-13,5.903574786324787e-13,250.18580097359632,-0.9558988700375854,0.3393749826126008,False
