,precision,recall,f1-score,support
0,0.8489208633093526,0.8676470588235294,0.8581818181818182,136.0
1,0.8686131386861314,0.85,0.8592057761732852,140.0
accuracy,0.8586956521739131,0.8586956521739131,0.8586956521739131,0.8586956521739131
macro avg,0.858767000997742,0.8588235294117648,0.8586937971775517,276.0
weighted avg,0.8589096986453999,0.8586956521739131,0.8587012171629971,276.0
