block,patch_position,aperiodic_exponent,beta_power
post-stress,early,1.6916749736340306,2.231011817796294e-13
post-stress,late,1.6560948804091842,2.3531977253794065e-13
post-stress,leave,1.6180780158619732,1.3458970614205807e-13
post-stress,mid,1.694311026730547,1.8040332943974772e-13
pre-stress,early,1.5997787560880425,1.3688782490864424e-13
pre-stress,late,1.671404809019118,1.722910119406571e-13
pre-stress,leave,1.419827191817678,1.2231569291914902e-13
pre-stress,mid,1.6078696729210542,1.752708251727583e-13
