channel,patch_position,parameter,pre_mean,post_mean,percent_change,t_statistic,p_value,significant
CZ,early,aperiodic_exponent,1.6678743660953064,1.8239477782922802,9.3576240135137,-0.9321918691791732,0.382264587474412,False
CZ,early,beta_power,7.561061338501971e-14,9.973109865928565e-14,31.900925272806735,-3.7051447368124384,0.007603278649470718,True
CZ,mid,aperiodic_exponent,1.540949018679643,1.6196630972731785,5.108155924650985,-0.6668026197239392,0.5262588525991344,False
CZ,mid,beta_power,1.0397887753188619e-13,8.605710054737241e-14,-17.235978508248355,0.9014077632463511,0.39732445515604037,False
CZ,late,aperiodic_exponent,1.5270878387260214,1.8141425788946506,18.797526434897527,-2.01759465213481,0.08342585006787795,False
CZ,late,beta_power,1.0816518839755012e-13,8.431580127551763e-14,-22.049041355502013,1.6971221901217617,0.13348609482699686,False
CZ,leave,aperiodic_exponent,1.421751558791398,1.4675210761447794,3.2192345470181265,-0.16046535572503415,0.8777807417752886,False
CZ,leave,beta_power,1.0326474514862685e-13,6.518251704533835e-14,-36.87824731323118,2.1614130618147995,0.07393257776991514,False
