block,patch_position,aperiodic_exponent,beta_power
post-stress,early,1.4219407328071398,1.2355399665704654e-13
post-stress,late,1.750564532434872,1.3178379943527386e-13
post-stress,leave,1.3965418166984147,2.050547313009645e-13
post-stress,mid,1.3171465685796342,1.270806700793985e-13
pre-stress,early,2.3400923425723974,9.70546205928625e-14
pre-stress,late,2.382958629259604,1.1045563386573415e-13
pre-stress,leave,1.971921126555653,1.2341392439045608e-13
pre-stress,mid,2.2934964714339485,9.405181799396423e-14
