channel,patch_position,parameter,pre_mean,post_mean,percent_change,t_statistic,p_value,significant
FZ,early,aperiodic_exponent,2.5613806481366184,1.8792965789184923,-26.629547221508687,6.463366058274416,1.320325290257784e-07,True
FZ,early,beta_power,2.8425844840145165e-14,2.941641837246485e-14,3.4847637348696225,-0.4476035035541507,0.6569806970071665,False
FZ,mid,aperiodic_exponent,2.441410911163975,1.5023116946870347,-38.46543046820464,4.397767477356474,0.00010742189512759377,True
FZ,mid,beta_power,2.7128410023359313e-14,3.1642313733718744e-14,16.639027891692393,-1.6446391342925422,0.10953850756010385,False
FZ,late,aperiodic_exponent,2.294529977726611,2.0800158337819292,-9.348936210335308,0.6058843119334489,0.5580924665509988,False
FZ,late,beta_power,2.9592256348628016e-14,3.329660750282371e-14,12.517974670652098,-1.0620671529382724,0.31318086123605354,False
FZ,leave,aperiodic_exponent,1.827470433876157,1.5481343072676192,-15.285397860913768,1.366021514950777,0.1799627081628288,False
FZ,leave,beta_power,4.596664499811229e-14,3.116123688359117e-14,-32.20902485950222,0.7859047561158978,0.43679664681208663,False
