file,environment,trial_type,n_trials,channel,beta_power,frontal_asymmetry,aperiodic_exponent,aperiodic_offset,central_freq
31730_processed.fif,preshort,stay,35,F4,2.511795599491993e-13,1.1058110190792878,1.51547280378048,-11.331163487241652,24.993901027943323
31730_processed.fif,preshort,stay,35,FCz,9.858786447866988e-14,1.1058110190792878,1.152766696340917,-12.15475133048659,23.733266925634535
31730_processed.fif,preshort,leave,1,T4,1.1477113505526487e-13,0.9808204528514644,0.4531404864311944,-12.891769887901054,11.098431819421636
31730_processed.fif,preshort,leave,1,A2,4.331716752935348e-14,0.9808204528514644,1.0777284147804544,-12.567837403068916,11.466441869478265
31730_processed.fif,preshort,leave,1,C3,1.2499069613134017e-13,0.9808204528514644,0.48153533513277996,-13.090126451836023,11.694399502491946
31730_processed.fif,preshort,leave,1,C4,1.1083334991634188e-13,0.9808204528514644,1.231470601428178,-12.077937342367738,22.176182989313784
31730_processed.fif,preshort,leave,1,A1,7.149717912358896e-14,0.9808204528514644,1.4542691159333185,-12.030014576490563,13.434550305966402
31730_processed.fif,preshort,leave,1,T3,2.304997803030259e-13,0.9808204528514644,1.2361184528095848,-11.89691206960372,26.776670326472832
31730_processed.fif,preshort,leave,1,O1,2.8501125344165435e-13,0.9808204528514644,1.2273022587938376,-11.83638590978751,14.412460994750543
31730_processed.fif,preshort,leave,1,T5,2.411742330826774e-13,0.9808204528514644,1.0419135135956115,-12.360021858396829,14.643073302356736
31730_processed.fif,preshort,leave,1,O2,2.0747364810452442e-13,0.9808204528514644,1.2235610396892485,-12.204210696681576,14.801636424290999
31730_processed.fif,preshort,leave,1,F8,1.792076206368125e-13,0.9808204528514644,1.2134135887783537,-12.07448714253023,11.143336955037059
31730_processed.fif,preshort,leave,1,T6,9.592101176844886e-14,0.9808204528514644,1.7869652003097505,-11.257728838031237,11.150416555672235
31730_processed.fif,preshort,leave,1,FZ,4.2623178834523133e-13,0.9808204528514644,0.8450354431643836,-12.422196027039991,21.280027374831302
31730_processed.fif,preshort,leave,1,FP2,4.77555745273274e-13,0.9808204528514644,-0.019635591616898207,-13.06688802591475,2.236761285809801
31730_processed.fif,preshort,leave,1,F7,1.9983932549257265e-13,0.9808204528514644,1.45349612758013,-11.340490734749523,13.225715805879215
31730_processed.fif,preshort,leave,1,FP1,3.061229144775879e-13,0.9808204528514644,0.3898385068983138,-12.654991689376823,21.86696688393611
31730_processed.fif,preshort,leave,1,CZ,1.2514724723632793e-13,0.9808204528514644,1.5582672001167586,-11.911326993762689,12.913057426993888
31730_processed.fif,preshort,leave,1,F3,2.060626859248979e-12,0.9808204528514644,1.2665854108116823,-10.888401812134399,22.234070103535394
31730_processed.fif,preshort,leave,1,F4,3.057160162326337e-13,0.9808204528514644,1.360463213525492,-11.450796105183422,24.585411546057383
31730_processed.fif,preshort,leave,1,FCz,1.4276918641381256e-13,0.9808204528514644,1.5432667096997301,-11.732879086195199,13.737723515769659
31730_processed.fif,preshort,leave,1,T4,1.3582993505808433e-13,0.8013192688016169,0.1366465173385428,-13.497503143862279,16.621474804018373
31730_processed.fif,preshort,leave,1,A2,3.8014514122914357e-14,0.8013192688016169,1.1062723230242968,-12.683784110692521,19.00498221531248
