file,patch_number,block,patch_position,channel,beta_power,aperiodic_offset,aperiodic_exponent,central_freq
31730_processed.fif,1,pre-stress,early,T4,1.1950560007600653e-13,-12.91975010309948,0.5786896709524053,13.28691121337422
31730_processed.fif,1,pre-stress,early,A2,3.52757253647527e-14,-12.606607496435286,1.269300787255433,25.761469803989616
31730_processed.fif,1,pre-stress,early,C3,4.594794831428722e-14,-12.50022545675961,1.2121848803886401,24.528779785539054
31730_processed.fif,1,pre-stress,early,C4,5.081233884344219e-14,-11.723430991653643,1.8127671511740555,28.461586883403218
31730_processed.fif,1,pre-stress,early,A1,3.6739375948895314e-14,-12.27191214339903,1.4656798392090638,12.231416988791254
31730_processed.fif,1,pre-stress,early,T3,1.1349437478266811e-13,-12.433697930141394,0.9211400941045396,12.350485236075832
31730_processed.fif,1,pre-stress,early,O1,2.0240807521204113e-13,-11.724018714318442,1.5521051445101754,17.75153273197467
31730_processed.fif,1,pre-stress,early,T5,1.258960864328645e-13,-12.060998708863755,1.26922177662003,10.150184327691475
31730_processed.fif,1,pre-stress,early,O2,1.0380945717968115e-13,-11.860506182876598,1.5389712699095888,15.251309156136074
31730_processed.fif,1,pre-stress,early,F8,8.658221913871944e-14,-12.202982351362936,1.1908591157045014,26.33995413051292
31730_processed.fif,1,pre-stress,early,T6,7.736571458537734e-14,-11.664674732467043,1.5906291984781273,30.661396630723402
31730_processed.fif,1,pre-stress,early,FZ,1.345795874490104e-13,-12.077866706722341,1.2089908110286596,28.830865641229497
31730_processed.fif,1,pre-stress,early,FP2,1.0674968831388401e-13,-12.196837830346508,0.9980724539659073,29.132941074984256
31730_processed.fif,1,pre-stress,early,F7,1.2906368641684378e-13,-12.191720605726902,0.9644248386127252,26.177158176744385
31730_processed.fif,1,pre-stress,early,FP1,1.5807470881874958e-13,-12.142610521741446,0.9631104007725186,41.10959472844223
31730_processed.fif,1,pre-stress,early,CZ,4.174991929499151e-14,-11.895659451574927,1.5478304035213675,26.818320459105248
31730_processed.fif,1,pre-stress,early,F3,8.005441158392268e-13,-10.801509858203504,1.6373817766701906,26.74155614195865
31730_processed.fif,1,pre-stress,early,F4,1.9385206444929976e-13,-11.414659546300582,1.6675759771274337,13.198502438183018
31730_processed.fif,1,pre-stress,early,FCz,4.407276453049964e-14,-12.383799598182994,1.2254306470105216,14.073759890405709
31730_processed.fif,1,pre-stress,mid,T4,1.099308314559542e-13,-12.857903860288772,0.597250755382234,23.03835780122975
31730_processed.fif,1,pre-stress,mid,A2,4.3781128377058186e-14,-12.604685104159012,1.1274309299589536,23.75908886109831
31730_processed.fif,1,pre-stress,mid,C3,6.676719467552049e-14,-12.597868179152067,0.9430420151525354,24.01176670200186
31730_processed.fif,1,pre-stress,mid,C4,6.809725158127867e-14,-12.363132289511748,1.230418487501227,38.78208674330293
31730_processed.fif,1,pre-stress,mid,A1,3.3282186708348444e-14,-13.138417553293811,0.8313095933792783,19.430882722053216
31730_processed.fif,1,pre-stress,mid,T3,1.0568554375911761e-13,-12.55976027744686,0.8301844526489379,15.356474165826961
31730_processed.fif,1,pre-stress,mid,O1,2.0041257185239874e-13,-12.216772030931475,1.1180724721274302,16.044421055704778
31730_processed.fif,1,pre-stress,mid,T5,1.4934895668413903e-13,-12.134762165269043,1.1606115201396536,25.182363587153656
31730_processed.fif,1,pre-stress,mid,O2,1.1485847755581498e-13,-11.611261673061252,1.6657505900929124,30.749051997947387
31730_processed.fif,1,pre-stress,mid,F8,1.534245948056497e-13,-11.96272653308642,1.3470737877807466,15.259428413779903
31730_processed.fif,1,pre-stress,mid,T6,8.237108134829979e-14,-11.491223246193428,1.599658439412151,25.769902836947903
31730_processed.fif,1,pre-stress,mid,FZ,1.8215109910617666e-13,-12.23538221586034,1.1345708504303402,26.14616943193415
31730_processed.fif,1,pre-stress,mid,FP2,1.6519681587444498e-13,-11.89817843490487,1.1989479498585338,33.19275772307149
31730_processed.fif,1,pre-stress,mid,F7,1.2162855828179606e-13,-11.898233159949916,1.1939750836076408,21.731759469873293
31730_processed.fif,1,pre-stress,mid,FP1,1.66199528851305e-13,-12.537866164254304,0.531869737786946,25.76098363758366
31730_processed.fif,1,pre-stress,mid,CZ,5.6835810439233275e-14,-12.044822335791359,1.603851233720982,17.060411923594135
31730_processed.fif,1,pre-stress,mid,F3,1.0246354840629866e-12,-11.352913309422945,1.1292971631448134,12.369810265845393
31730_processed.fif,1,pre-stress,mid,F4,1.8408269020951867e-13,-11.171322888835684,1.8865247253262682,29.793809772629476
31730_processed.fif,1,pre-stress,mid,FCz,6.104287888560446e-14,-12.21692483016601,1.2681130399421063,8.889590017970662
31730_processed.fif,1,pre-stress,late,T4,1.0930253033455675e-13,-12.385864902086077,1.0088618751409404,18.89194422919521
31730_processed.fif,1,pre-stress,late,A2,4.248280116346573e-14,-13.162462899764797,0.8188909747029524,15.552215264909726
31730_processed.fif,1,pre-stress,late,C3,4.945624611777888e-14,-12.572595025289576,1.105761156973486,31.452278712501794
31730_processed.fif,1,pre-stress,late,C4,6.348188379305527e-14,-12.386253465924398,1.0697451201541521,25.702904451741247
31730_processed.fif,1,pre-stress,late,A1,3.6785620115384905e-14,-12.34016129823183,1.3682942498560053,19.914145722786408
31730_processed.fif,1,pre-stress,late,T3,1.2968353690636736e-13,-11.997874336057887,1.2562964747136292,11.607938974262007
31730_processed.fif,1,pre-stress,late,O1,1.4948550558811034e-13,-12.147009317060702,1.3452552604141206,13.803751605154554
31730_processed.fif,1,pre-stress,late,T5,1.0383605659487522e-13,-11.780249608805045,1.625367081467254,11.854254423755396
31730_processed.fif,1,pre-stress,late,O2,1.5090199001259898e-13,-12.222839234957092,1.1399999846190538,15.278328088913572
31730_processed.fif,1,pre-stress,late,F8,2.3727038782589803e-13,-12.036425709822218,1.1866954337193465,13.53985172251859
31730_processed.fif,1,pre-stress,late,T6,9.260494350519352e-14,-12.092703409070545,1.2532936865679893,14.438009236976562
31730_processed.fif,1,pre-stress,late,FZ,1.6748098326032437e-13,-12.15656408065215,1.0123956448372537,20.80079462748416
31730_processed.fif,1,pre-stress,late,FP2,1.5586690387039636e-13,-12.496226613230672,0.6522647455111414,23.643372004975497
31730_processed.fif,1,pre-stress,late,F7,1.3059162014269735e-13,-12.19046663555515,1.0978740984547577,46.81147440137417
31730_processed.fif,1,pre-stress,late,FP1,2.2489523369150007e-13,-12.862940705949587,0.36112595204617925,13.394959927545848
31730_processed.fif,1,pre-stress,late,CZ,4.863570925181578e-14,-11.813236859438408,1.6951912195260062,29.780060390226076
31730_processed.fif,1,pre-stress,late,F3,1.2218786560949916e-12,-11.05140361708823,1.428705145664098,22.888416039761694
31730_processed.fif,1,pre-stress,late,F4,1.8934615573388812e-13,-10.87316614170554,1.8843284013830601,36.70700165921669
31730_processed.fif,1,pre-stress,late,FCz,5.977968591339784e-14,-11.545969388201776,1.8393575379192684,28.86374288256166
31730_processed.fif,1,pre-stress,leave,T4,9.640104520259157e-14,-12.212351235903322,1.0745005267730852,10.65319785708502
31730_processed.fif,1,pre-stress,leave,A2,3.375947402490841e-14,-11.827843040645956,1.7817036653292693,48.03683582776695
31730_processed.fif,1,pre-stress,leave,C3,6.032212604947073e-14,-11.938885796002591,1.4935729853442585,7.524943626643986
31730_processed.fif,1,pre-stress,leave,C4,6.851098732977391e-14,-13.681001581422246,0.1461508628665541,11.11777731854558
31730_processed.fif,1,pre-stress,leave,A1,2.458041194714816e-14,-12.324420221241684,1.585009050147342,28.848080103889906
31730_processed.fif,1,pre-stress,leave,T3,7.424977694216007e-14,-12.624708812336157,1.0234119036137217,45.407967193650784
31730_processed.fif,1,pre-stress,leave,O1,1.198682983974392e-13,-12.11339197540461,1.4327445586641276,14.909316167205565
31730_processed.fif,1,pre-stress,leave,T5,7.60525372417778e-14,-12.777929709057041,0.7733530783459488,13.106201050410535
31730_processed.fif,1,pre-stress,leave,O2,1.190746492319101e-13,-11.998625598053822,1.4750660430282545,13.27131183870865
31730_processed.fif,1,pre-stress,leave,F8,1.1369020261520068e-13,-12.233244017194068,1.2342187223762402,31.70590060472976
31730_processed.fif,1,pre-stress,leave,T6,1.1340194668984787e-13,-10.559950415281254,2.172499855416395,23.168193040853645
31730_processed.fif,1,pre-stress,leave,FZ,2.4167162248427946e-13,-12.14731263728968,1.1599278113036557,12.850294021514348
31730_processed.fif,1,pre-stress,leave,FP2,2.6945471482525986e-13,-12.116916494993305,0.8852973530490239,43.90947709724699
31730_processed.fif,1,pre-stress,leave,F7,7.64833070137418e-14,-11.656924625091936,1.5920616454004932,35.14347835251314
31730_processed.fif,1,pre-stress,leave,FP1,1.775195766464446e-13,-13.076834334717214,0.2952939101718868,5.02141523516516
31730_processed.fif,1,pre-stress,leave,CZ,5.087072641215134e-14,-12.098682053982179,1.4056132323045543,45.3506479483172
31730_processed.fif,1,pre-stress,leave,F3,6.65129935186334e-13,-12.281585549602797,0.6345264491131488,26.62984626428347
31730_processed.fif,1,pre-stress,leave,F4,1.751297731859692e-13,-10.712038191531404,2.143605148687632,32.47715860501118
31730_processed.fif,1,pre-stress,leave,FCz,6.680812050776148e-14,-12.175157089652558,1.3556900074852392,37.79097263794459
31730_processed.fif,2,pre-stress,early,T4,9.962636054713783e-14,-12.242184775061817,1.0314316536964894,21.520178195684327
31730_processed.fif,2,pre-stress,early,A2,3.3446204417953484e-14,-12.655112368215555,1.1815551204675439,12.844906879623352
31730_processed.fif,2,pre-stress,early,C3,5.1945419903574944e-14,-12.455792718713937,1.1226750467150466,32.813087453682805
31730_processed.fif,2,pre-stress,early,C4,5.569996448567234e-14,-12.811444197462341,0.8316766132136785,19.355467089883906
31730_processed.fif,2,pre-stress,early,A1,3.0978024953547364e-14,-12.263362522378198,1.4858004922118693,20.542761655039477
