file,environment,trial_type,n_trials,channel,beta_power,frontal_asymmetry,aperiodic_exponent,aperiodic_offset,central_freq
31730_processed.fif,preshort,stay,35,T4,1.276716626642234e-13,1.1058110190792878,1.4523847716410596,-11.670037386080361,26.715719594489737
31730_processed.fif,preshort,stay,35,A2,4.122165870833273e-14,1.1058110190792878,1.2407418472152205,-12.520433216320582,19.727676483068976
31730_processed.fif,preshort,stay,35,C3,8.02760093607068e-14,1.1058110190792878,1.257015114143181,-12.137235504932358,25.725733271093752
31730_processed.fif,preshort,stay,35,C4,9.182483359371622e-14,1.1058110190792878,1.3486243446937034,-11.964790139519247,28.43589450022589
31730_processed.fif,preshort,stay,35,A1,4.463993708795266e-14,1.1058110190792878,1.3696149876546284,-12.311658658901536,15.13450588931885
31730_processed.fif,preshort,stay,35,T3,1.4971857620987277e-13,1.1058110190792878,1.1751524854201765,-11.893104515843012,18.48077837376944
31730_processed.fif,preshort,stay,35,O1,2.1371286760581554e-13,1.1058110190792878,1.575291627556175,-11.47722501461403,18.261122150823233
31730_processed.fif,preshort,stay,35,T5,1.5210078878835183e-13,1.1058110190792878,1.6195688572910394,-11.464573201230943,23.66268127953495
31730_processed.fif,preshort,stay,35,O2,1.900096146093864e-13,1.1058110190792878,1.7037151633254528,-11.334994279782979,24.281199139194477
31730_processed.fif,preshort,stay,35,F8,1.8368421436646445e-13,1.1058110190792878,1.6612057451165496,-11.325584216321614,27.982339902690086
31730_processed.fif,preshort,stay,35,T6,1.138208302767471e-13,1.1058110190792878,1.6241053360034639,-11.392398606633169,24.962800106078756
31730_processed.fif,preshort,stay,35,FZ,1.2961803923547867e-12,1.1058110190792878,1.170665662907842,-11.61043109304793,25.669329025256722
31730_processed.fif,preshort,stay,35,FP2,3.5953251629483164e-13,1.1058110190792878,1.3337164567513133,-11.238673107137897,33.33026490194723
31730_processed.fif,preshort,stay,35,F7,1.6198908150178007e-13,1.1058110190792878,1.1763349313951499,-11.77251349258551,27.38718676859861
31730_processed.fif,preshort,stay,35,FP1,3.6150607851275823e-13,1.1058110190792878,1.6974595296672332,-10.720360374478366,31.46652493907175
31730_processed.fif,preshort,stay,35,CZ,7.31028711839085e-14,1.1058110190792878,1.5129323860922235,-11.795133572868409,24.205205514199587
31730_processed.fif,preshort,stay,35,F3,1.8768876249345246e-12,1.1058110190792878,1.0625613682555521,-11.250114402300293,25.67431446399284
31730_processed.fif,preshort,stay,35,F4,2.511795599491993e-13,1.1058110190792878,1.51547280378048,-11.331163487241652,24.993901027943323
31730_processed.fif,preshort,stay,35,FCz,9.858786447866988e-14,1.1058110190792878,1.152766696340917,-12.15475133048659,23.733266925634535
31730_processed.fif,preshort,leave,6,T4,1.2013378097973312e-13,0.9853746937826848,1.0313684823769365,-12.3010506253389,15.541609448381493
31730_processed.fif,preshort,leave,6,A2,3.639262649447288e-14,0.9853746937826848,1.239018814171785,-12.487107941270033,21.460295072473517
31730_processed.fif,preshort,leave,6,C3,7.254060643810929e-14,0.9853746937826848,1.0839108528816257,-12.509534798410606,25.335109881665403
31730_processed.fif,preshort,leave,6,C4,8.218515417682473e-14,0.9853746937826848,1.152953557535788,-12.24958086428852,27.463740890454176
31730_processed.fif,preshort,leave,6,A1,4.06255664250034e-14,0.9853746937826848,1.4035777121293649,-12.285535402496947,16.75776341801355
31730_processed.fif,preshort,leave,6,T3,1.445044798231007e-13,0.9853746937826848,0.9491000100429443,-12.341313386502344,14.062374518220304
31730_processed.fif,preshort,leave,6,O1,2.1484199942620614e-13,0.9853746937826848,1.3404196458880888,-11.82396439048167,14.984559303401367
31730_processed.fif,preshort,leave,6,T5,1.447416028791708e-13,0.9853746937826848,1.2400121013624303,-12.100586697335268,15.838959235879146
31730_processed.fif,preshort,leave,6,O2,1.637253699994996e-13,0.9853746937826848,1.4693256220252706,-11.774612281719124,21.89083874426346
31730_processed.fif,preshort,leave,6,F8,1.4909198957413805e-13,0.9853746937826848,1.4504526030727518,-11.811717512650104,25.406483001467336
31730_processed.fif,preshort,leave,6,T6,9.772684964826903e-14,0.9853746937826848,2.0880318459945335,-10.857085752017175,33.32324631153077
31730_processed.fif,preshort,leave,6,FZ,2.767388440073044e-13,0.9853746937826848,0.9536257992156546,-12.166433764421079,20.476236976570743
31730_processed.fif,preshort,leave,6,FP2,3.835604661978868e-13,0.9853746937826848,0.5341841106188325,-12.433176098187671,28.290356041921473
31730_processed.fif,preshort,leave,6,F7,1.546386374850509e-13,0.9853746937826848,1.251351809671933,-11.77435464526045,29.679348734519518
31730_processed.fif,preshort,leave,6,FP1,2.7204736761032423e-13,0.9853746937826848,0.9778892812380521,-11.751012041558964,27.764401031381123
31730_processed.fif,preshort,leave,6,CZ,7.175056138062247e-14,0.9853746937826848,1.1836468581260065,-12.325687676674844,19.452147594120692
31730_processed.fif,preshort,leave,6,F3,1.6833031772738409e-12,0.9853746937826848,1.196297918779624,-11.150700133728748,24.444577982319142
31730_processed.fif,preshort,leave,6,F4,2.521755265980848e-13,0.9853746937826848,1.2665860772654185,-11.740433171295194,19.871872095380652
31730_processed.fif,preshort,leave,6,FCz,9.133660296426485e-14,0.9853746937826848,1.1325722420984035,-12.232653304766565,19.511248593172628
31730_processed.fif,prelong,stay,29,T4,1.281483493906129e-13,0.9179634213168745,1.0597107091093556,-12.18814491443443,19.508181154008426
31730_processed.fif,prelong,stay,29,A2,4.29860568518372e-14,0.9179634213168745,1.2669231736749114,-12.465845890833613,19.937329282826248
