file,block,trial_number,trial_type,response,start_time,end_time,duration,rt_N,rt_O,prestress_start,poststress_start
31730_processed.fif,pre-stress,1,long,0,896.151978,899.440002,3.288024000000064,2.6360469999999623,0.5520019999999022,875.320007,4111.571777
31730_processed.fif,pre-stress,2,long,0,904.119995,907.528015,3.408019999999965,2.752014000000031,0.4440299999999979,875.320007,4111.571777
31730_processed.fif,pre-stress,3,long,0,912.776001,916.156006,3.3800050000000965,2.723999000000049,0.5399780000000192,875.320007,4111.571777
31730_processed.fif,pre-stress,4,long,0,920.624023,924.028015,3.4039920000000166,2.751954000000069,0.44799799999998413,875.320007,4111.571777
31730_processed.fif,pre-stress,5,long,0,927.97998,931.375977,3.3959970000000794,2.731995000000097,0.5399780000000192,875.320007,4111.571777
31730_processed.fif,pre-stress,6,long,0,935.424011,939.572021,4.148009999999999,3.4879760000000033,0.5399779999999055,875.320007,4111.571777
31730_processed.fif,pre-stress,7,long,0,943.607971,947.231995,3.624023999999963,3.060059000000024,0.5440070000000787,875.320007,4111.571777
31730_processed.fif,pre-stress,8,long,0,951.271973,954.796021,3.5240479999999934,2.856017999999949,0.5520019999999022,875.320007,4111.571777
31730_processed.fif,pre-stress,9,long,1,968.880005,991.127991,22.24798599999997,2.0759890000000496,,875.320007,4111.571777
31730_processed.fif,pre-stress,10,long,0,995.716003,998.684021,2.968018000000029,2.4160160000000133,0.5599980000000642,875.320007,4111.571777
31730_processed.fif,pre-stress,11,long,0,1002.547974,1005.312012,2.7640380000000278,2.0920409999999947,0.45202699999993,875.320007,4111.571777
31730_processed.fif,pre-stress,12,long,0,1010.564026,1013.195984,2.6319579999999405,1.9759520000000066,0.5559690000000046,875.320007,4111.571777
31730_processed.fif,pre-stress,13,long,0,1017.676025,1020.776001,3.0999759999999696,2.4279790000000503,0.44799799999998413,875.320007,4111.571777
31730_processed.fif,pre-stress,14,long,0,1025.255981,1028.219971,2.963989999999967,2.2919930000000477,0.5439460000000054,875.320007,4111.571777
31730_processed.fif,pre-stress,15,long,0,1032.712036,1035.359985,2.6479490000001533,1.9799810000001798,0.5560310000000754,875.320007,4111.571777
31730_processed.fif,pre-stress,16,long,0,1039.719971,1042.807983,3.088011999999935,2.4240720000000238,0.5600589999999102,875.320007,4111.571777
31730_processed.fif,pre-stress,17,long,0,1047.176025,1050.135986,2.959961000000021,2.299927000000025,0.5559080000000449,875.320007,4111.571777
31730_processed.fif,pre-stress,18,long,0,1054.712036,1057.687988,2.9759520000000066,2.3159180000000106,0.44396999999980835,875.320007,4111.571777
31730_processed.fif,pre-stress,19,long,0,1061.959961,1065.160034,3.200072999999975,2.5200190000000475,,875.320007,4111.571777
31730_processed.fif,pre-stress,20,long,1,1070.088013,1092.235962,22.147948999999926,1.9599610000000212,,875.320007,4111.571777
31730_processed.fif,pre-stress,21,long,0,1096.615967,1099.55603,2.940063000000009,2.2919919999999365,0.5399169999998321,875.320007,4111.571777
31730_processed.fif,pre-stress,22,long,0,1103.81604,1107.212036,3.3959959999999683,2.7359619999999722,0.44396999999980835,875.320007,4111.571777
31730_processed.fif,pre-stress,23,long,0,1111.812012,1114.660034,2.848021999999901,2.187987999999905,0.5439449999998942,875.320007,4111.571777
31730_processed.fif,pre-stress,24,long,0,1118.595947,1121.343994,2.7480470000000423,2.1800539999999273,0.5360109999999167,875.320007,4111.571777
31730_processed.fif,pre-stress,25,long,0,1125.300049,1127.932007,2.631958000000168,1.9678949999999986,0.43994099999986247,875.320007,4111.571777
31730_processed.fif,pre-stress,26,long,0,1131.540039,1134.515991,2.9759520000000066,2.307982999999922,0.45202599999993254,875.320007,4111.571777
31730_processed.fif,pre-stress,27,long,0,1138.027954,1141.004028,2.9760740000001533,2.30810600000018,0.44409200000018245,875.320007,4111.571777
31730_processed.fif,pre-stress,28,long,0,1144.511963,1147.160034,2.6480710000000727,2.0880130000000463,0.5479740000000675,875.320007,4111.571777
31730_processed.fif,pre-stress,29,long,0,1150.680054,1153.543945,2.863890999999967,2.2039790000001176,0.5600580000000264,875.320007,4111.571777
31730_processed.fif,pre-stress,30,long,0,1157.060059,1159.708008,2.6479490000001533,2.087890000000016,0.5520019999999022,875.320007,4111.571777
31730_processed.fif,pre-stress,31,long,1,1163.644043,1185.459961,21.81591800000001,1.6359860000000026,,875.320007,4111.571777
31730_processed.fif,pre-stress,32,long,0,1189.375977,1192.040039,2.664062000000058,1.9880370000000767,0.4479980000000978,875.320007,4111.571777
31730_processed.fif,pre-stress,33,short,0,1229.57605,1232.439941,2.8638910000001943,2.2039790000001176,0.5600580000000264,875.320007,4111.571777
31730_processed.fif,pre-stress,34,short,0,1236.708008,1239.355957,2.647948999999926,2.208007999999836,0.5679939999999988,875.320007,4111.571777
31730_processed.fif,pre-stress,35,short,0,1243.644043,1246.391968,2.7479249999998956,2.18396000000007,0.5479740000000675,875.320007,4111.571777
31730_processed.fif,pre-stress,36,short,0,1250.343994,1253.411987,3.0679929999998876,2.4079589999998916,0.5439449999998942,875.320007,4111.571777
31730_processed.fif,pre-stress,37,short,0,1257.036011,1259.916016,2.880004999999983,2.2080080000000635,0.44799799999987044,875.320007,4111.571777
31730_processed.fif,pre-stress,38,short,0,1263.764038,1266.631958,2.8679199999999128,2.299927000000025,0.5479740000000675,875.320007,4111.571777
31730_processed.fif,pre-stress,39,short,1,1271.567993,1278.452026,6.884033000000045,1.6440430000000106,,875.320007,4111.571777
31730_processed.fif,pre-stress,40,short,0,1282.495972,1285.147949,2.651976999999988,2.0920410000001084,0.5520020000001296,875.320007,4111.571777
