block,patch_position,aperiodic_exponent,beta_power
post-stress,early,2.075726868684997,2.0405425158432227e-13
post-stress,late,1.9758010898201668,1.0707389150184317e-13
post-stress,leave,2.0866816217830713,1.1566307978335038e-13
post-stress,mid,2.0841957477395665,1.2010131126168666e-13
pre-stress,early,1.8881128615488545,1.3971789284710028e-13
pre-stress,late,2.0570859118334766,1.4893169636848935e-13
pre-stress,leave,1.6902784497429584,1.4362498990732462e-13
pre-stress,mid,1.9103358725536557,1.396879078529826e-13
