subid,stress_cond,env,trial_time,reaction_time,reward
43000,pre,long,0,1,7.15102494163776
43000,pre,long,8752.27542431134,604,6.6385740341243
43000,pre,long,15078.0032045559,515,6.35780583607349
43000,pre,long,22005.6925111678,549,5.67319039477601
43000,pre,long,28698.4549236864,843,5.06179279282236
43000,pre,long,35815.2801853207,763,4.6929328937213
43000,pre,long,42795.228403616,714,4.25421006541047
43000,pre,long,49791.4312892965,1,NaN
43000,pre,long,65738.3439809496,473,6.69202864901345
43000,pre,long,73063.8074801414,570,6.11414974769094
43000,pre,long,79993.340038461,845,5.78080525032134
43000,pre,long,87112.7310780297,678,5.04843669372262
43000,pre,long,94037.7499213873,554,4.40369312645069
43000,pre,long,100773.470053678,671,NaN
43000,pre,long,111711.990933066,600,7.09112856588989
43000,pre,long,118423.77723596,687,6.19471345916482
43000,pre,long,125411.950560086,745,6.23042684761325
43000,pre,long,132219.493117632,630,5.87616943501962
43000,pre,long,138929.940238509,1114,5.38257409196345
43000,pre,long,145894.487073536,612,5.31161687113449
43000,pre,long,152690.373216992,2246,4.2985565910362
43000,pre,long,160703.659166721,735,NaN
43000,pre,long,171265.83039556,488,7.21268357272744
43000,pre,long,177383.975877342,690,6.67204726065202
43000,pre,long,184156.63491607,447,6.14265575476229
43000,pre,long,190739.430733082,572,5.48103111033615
43000,pre,long,197024.919846598,545,4.91398475128682
43000,pre,long,203166.509704527,480,4.55100581848273
43000,pre,long,209231.535089729,512,4.12409680680537
43000,pre,long,215341.692489046,513,NaN
43000,pre,long,226135.614498877,480,6.76369296961296
43000,pre,long,232282.66260988,511,6.45437598697382
43000,pre,long,238401.813465771,504,6.1281332169396
43000,pre,long,244927.636371394,481,5.6281501344052
43000,pre,long,251344.434849387,972,5.12785527476724
43000,pre,long,258119.555375769,896,4.43331844595813
43000,pre,long,264640.811631211,621,NaN
43000,pre,long,275019.341501685,539,7.01267659321092
43000,pre,long,281231.739719902,596,6.5322759750906
43000,pre,long,287428.845585598,563,6.0065497623962
43000,pre,long,294236.69587848,496,5.58896168284887
43000,pre,long,300424.707552671,637,5.00046817802118
43000,pre,separator,306730.723284701,NaN,NaN
43000,pre,short,337915.367251904,581,4.71549370075782
43000,pre,short,345869.802670147,538,3.84227381667895
43000,pre,short,352681.433485713,632,2.61306754412599
43000,pre,short,359023.571973725,581,2.37220946480948
43000,pre,short,365291.281174498,2262,1.77135042998456
43000,pre,short,373270.436154596,598,1.09911569884303
43000,pre,short,379630.887067847,681,NaN
43000,pre,short,405216.183876407,548,6.93157359172333
43000,pre,short,411546.509119869,861,6.53959942700287
43000,pre,short,418681.426770051,593,5.98782197471492
43000,pre,short,425255.511583332,583,5.14962959721125
43000,pre,short,432001.799007346,613,4.33809785173643
43000,pre,short,438703.940434448,702,4.1816958731303
43000,pre,short,445629.476778821,664,3.97661928790256
43000,pre,short,452175.426918586,670,3.26319996531168
43000,pre,short,458602.795453576,566,2.88888933572748
43000,pre,short,465483.869769882,630,2.83225309122791
43000,pre,short,472447.902659244,823,1.96248503718784
43000,pre,short,479011.22621668,526,1.6421127032208
43000,pre,short,485607.888295628,597,0.908407874099061
43000,pre,short,492326.853246193,445,NaN
43000,pre,short,517659.361869893,547,7.28584817649145
43000,pre,short,523941.61837974,645,7.09029030187009
43000,pre,short,530620.32846698,532,6.74176599055393
43000,pre,short,537280.63329483,663,6.36598318402611
43000,pre,short,543911.89327944,549,5.77147970950422
43000,pre,short,550643.143151052,531,5.16798175526403
43000,pre,short,557321.402103819,597,4.63607679518089
43000,pre,short,563959.713138521,564,4.01369046348416
43000,pre,short,571200.289879576,704,3.60396633461217
43000,pre,short,578112.339199398,567,3.13198685761979
43000,pre,short,584824.004620375,2143,2.74035942966721
43000,pre,short,593688.184701248,630,2.83990489970666
43000,pre,short,600451.476181522,526,2.80454613071378
43000,pre,short,607262.071204979,514,2.72527314662812
43000,pre,short,613709.693386574,479,1.9818149065386
43000,pre,short,620566.103841517,668,1.77601725629875
43000,pre,short,626920.492882188,756,1.45758083141091
43000,pre,short,634234.473784426,603,1.08745216447268
43000,pre,bad,640530.495821278,NaN,NaN
