subid,stress_cond,env,trial_time,reaction_time,reward
48238,pre,long,0,847,6.85926680730164
48238,pre,long,9983.24765431244,720,6.37764265956287
48238,pre,long,16766.3639161283,683,5.67508879320387
48238,pre,long,23839.7615972835,540,5.2621674648248
48238,pre,long,30006.614265053,603,4.91347447515997
48238,pre,long,37034.3836700376,778,NaN
48238,pre,long,63439.1171972866,553,7.4260178671225
48238,pre,long,70899.2390217536,665,6.96966172039282
48238,pre,long,77753.4119186348,564,6.399933831882
48238,pre,long,84694.8083372208,613,5.65818987285382
48238,pre,long,91441.9089915373,582,5.3175551209341
48238,pre,long,98102.7610991305,597,4.42508072245269
48238,pre,long,104820.069314875,1021,3.98558786363212
48238,pre,long,112385.286173725,1112,3.66764117715061
48238,pre,long,119326.039061417,616,3.46304958969884
48238,pre,long,125596.460303545,1213,3.02705057704779
48238,pre,long,132592.386583112,695,2.50787534260611
48238,pre,long,139516.492602555,748,1.82254524215276
48238,pre,long,146448.450568017,747,2.13827660545352
48238,pre,long,153399.874454194,1130,1.39180086715771
48238,pre,long,160195.747560489,686,0.793008066566092
48238,pre,long,166952.724774596,870,0.237630249579633
48238,pre,long,173788.176808632,688,0
48238,pre,long,180498.891301746,651,0.0574758940480008
48238,pre,long,187016.684397674,715,0
48238,pre,long,193779.616149031,598,0
48238,pre,long,200488.817218658,678,NaN
48238,pre,long,225978.588079785,555,7.24801143409339
48238,pre,long,233107.431339915,647,7.17101906313945
48238,pre,long,239457.091817123,554,6.31465622395215
48238,pre,long,245753.493693279,554,5.61241172004996
48238,pre,long,252018.884017087,696,5.18262250191133
48238,pre,long,258394.74990983,671,4.96926312835168
48238,pre,long,264973.760610457,489,4.81648637206307
48238,pre,long,271121.266266538,680,4.40407296885085
48238,pre,long,277552.951057283,685,3.85895031780223
48238,pre,long,284398.255948316,656,3.42328977036819
48238,pre,long,291215.92733039,3648,2.83741145876489
48238,pre,separator,301007.445048032,NaN,NaN
48238,pre,short,332209.001768623,536,1.99796393203288
48238,pre,short,340223.837743304,562,1.519432837336
48238,pre,short,347019.469476133,648,1.29051784608677
48238,pre,short,353316.849882691,615,0.819342982577608
48238,pre,short,361083.324411865,1613,0.34656541887724
48238,pre,short,369698.2049478,479,NaN
48238,pre,short,379984.919096433,731,6.44717146884268
48238,pre,short,386470.874992642,730,5.69119588365962
48238,pre,short,392980.642717099,747,5.356272005092
48238,pre,short,399411.51134159,532,4.64525453501084
48238,pre,short,405694.857322998,594,4.25998671115717
48238,pre,short,411989.578275914,680,3.67853362689352
48238,pre,short,418850.360302242,880,3.23713948021826
48238,pre,short,425469.605707949,748,2.55808621829367
48238,pre,short,431981.249903707,816,2.19709888357744
48238,pre,short,438574.565636398,932,NaN
48238,pre,short,449338.810522619,597,7.39369348843729
48238,pre,short,456400.488751641,521,6.84344682054672
48238,pre,short,462716.874454589,772,5.95221447125826
48238,pre,short,469610.297995494,634,5.43972138162936
48238,pre,short,475971.751008455,507,5.18246619233644
48238,pre,short,482186.649637525,765,4.61542202171226
48238,pre,short,488753.898616033,362,3.9509116697071
48238,pre,short,495464.959565006,754,NaN
48238,pre,short,506058.541954145,680,7.1478970258138
48238,pre,short,513573.453975295,834,6.8439424568858
48238,pre,short,520582.725323711,513,6.39666188427819
48238,pre,short,527536.97537319,621,5.76029371993255
48238,pre,short,534350.008513254,838,4.85382158876473
48238,pre,short,542313.772469756,483,4.22401262830723
48238,pre,short,549160.939610413,48,NaN
48238,pre,short,559499.601200468,964,7.02356516647173
48238,pre,short,567136.597234595,417,6.78218689137804
48238,pre,short,573931.150490233,470,7.00268152265124
48238,pre,short,580211.179265427,414,6.4788769057747
48238,pre,short,586376.420933203,1513,5.356588251839
48238,pre,short,593601.427224319,514,4.91120522021345
48238,pre,short,600552.55285032,514,4.10169730026519
48238,pre,short,607326.790835077,547,NaN
48238,pre,short,617687.390152358,1997,7.13863265186645
48238,pre,short,626838.240272867,412,NaN
48238,pre,bad,637759.838141511,NaN,NaN
48238,pre,bad,658901.459183589,NaN,NaN
