subid,stress_cond,env,trial_time,reaction_time,reward
47131,pre,short,0,647,
47131,pre,short,14121.6600576918,410,
47131,pre,short,20609.8109114064,664,
47131,pre,short,27006.6054200706,582,
47131,pre,short,33357.4049362287,718,
47131,pre,short,39868.3131034686,581,
47131,pre,short,46131.0627374678,605,
47131,pre,short,52442.3766871059,673,
47131,pre,short,58874.4594901018,679,
47131,pre,short,65253.8292948666,1,
47131,pre,short,75103.7498528494,487,
47131,pre,short,81347.5665302212,566,
47131,pre,short,87592.3376179089,814,
47131,pre,short,94091.655783388,773,
47131,pre,short,100607.328101458,532,
47131,pre,short,106937.795833621,593,
47131,pre,short,113226.227637922,569,
47131,pre,short,119492.991246761,1,
47131,pre,short,129304.065013672,522,
47131,pre,short,135554.794055162,421,
47131,pre,short,141698.589637537,412,
47131,pre,short,147813.757650887,698,
47131,pre,short,154257.203309149,613,
47131,pre,short,160576.16834281,490,
47131,pre,short,166803.562526122,513,
47131,pre,short,173054.44721234,1,
47131,pre,short,186906.736019429,563,
47131,pre,short,193138.923191302,521,
47131,pre,short,199439.18122972,496,
47131,pre,short,205585.770121426,681,
47131,pre,short,212083.548826226,556,
47131,pre,short,218376.999975508,781,
47131,pre,short,224887.959102571,566,
47131,pre,short,231117.890215952,1,
47131,pre,short,240934.059570058,671,
47131,pre,short,247347.515175361,747,
47131,pre,short,254172.91102257,815,
47131,pre,short,260660.587436389,1442,
47131,pre,short,267918.850630835,812,
47131,pre,short,274468.218452512,780,
47131,pre,short,280959.503137783,889,
47131,pre,short,287540.83619933,763,
47131,pre,short,294020.351535866,605,
47131,pre,short,300305.960403033,3,
47131,pre,long,341380.886748313,862,
47131,pre,long,347961.338086423,448,
47131,pre,long,354112.687573624,558,
47131,pre,long,360421.683443905,482,
47131,pre,long,366636.203753962,564,
47131,pre,long,372923.432274396,615,
47131,pre,long,379243.662612793,627,
47131,pre,long,385691.301987907,644,
47131,pre,long,392039.200349529,465,
47131,pre,long,398186.497148225,679,
47131,pre,long,404553.045619707,478,
47131,pre,long,410779.217557358,1,
47131,pre,long,436884.098007195,631,
47131,pre,long,443243.769667924,765,
47131,pre,long,449764.404050555,863,
47131,pre,long,456393.610112325,660,
47131,pre,long,462821.066237499,687,
47131,pre,long,469235.661130613,637,
47131,pre,long,475651.620877885,614,
47131,pre,long,482028.644160597,593,
47131,pre,long,488379.402987905,568,
47131,pre,long,494651.890293378,773,
47131,pre,long,501190.622523609,1,
47131,pre,long,526122.836479017,513,
47131,pre,long,532386.435838423,527,
47131,pre,long,538620.107560779,631,
47131,pre,long,545015.6166178,638,
47131,pre,long,551459.419389857,615,
47131,pre,long,557771.852875438,648,
47131,pre,long,564166.080431192,548,
47131,pre,long,570422.298122072,521,
47131,pre,long,576776.807829325,496,
47131,pre,long,583027.872257551,519,
47131,pre,long,589306.131454219,496,
47131,pre,long,595552.948045473,487,
47131,pre,long,601832.480052588,2,
47131,pre,long,627342.382059614,701,
47131,pre,long,633797.563488433,665,
47131,pre,long,640102.388554029,745,
47131,pre,long,646592.689596217,NaN,
