subid,stress_cond,env,trial_time,reaction_time,reward
31730,post,long,0,640,6.74263238437793
31730,post,long,10548.8890363704,565,6.14472735055045
31730,post,long,17258.1091298671,630,5.59747409912068
31730,post,long,23545.1010229099,630,5.25923297911935
31730,post,long,29773.4547520231,649,4.83059342078534
31730,post,long,36464.7223716784,434,4.34605470769649
31730,post,long,42899.5226368279,579,NaN
31730,post,long,71048.0811849229,497,6.93432820090399
31730,post,long,77626.3803593738,406,6.41313681005786
31730,post,long,83840.6822137586,564,5.98930093524598
31730,post,long,90325.6320795645,464,5.31272322566775
31730,post,long,96849.5476426942,436,4.57099824837887
31730,post,long,102915.407089973,606,3.83299564683217
31730,post,long,109645.032049384,446,NaN
31730,post,long,135480.016243939,514,7.14411208707396
31730,post,long,141584.474398813,565,6.12626780320633
31730,post,long,148124.424529295,417,5.35444022324242
31730,post,long,154221.66890653,598,5.25036228829093
31730,post,long,160773.682293557,573,4.35488769492091
31730,post,long,167554.017411669,499,4.06899141681302
31730,post,long,174295.439372429,464,NaN
31730,post,long,200298.257964152,513,7.17885185116612
31730,post,long,206945.18619297,433,6.34251017633757
31730,post,long,213395.595175172,440,5.97991447173837
31730,post,long,219576.24695525,498,5.30081077953098
31730,post,long,225807.829719926,546,5.06106704398336
31730,post,long,232332.359961223,634,4.29732890427283
31730,post,long,239050.574660881,705,NaN
31730,post,long,264599.067869793,462,7.20853596861421
31730,post,long,270979.904843396,435,6.81740950169694
31730,post,long,277026.155425088,789,6.12030145511995
31730,post,long,283422.481024379,767,6.15239074250035
31730,post,long,289819.8013278,465,5.40793249720399
31730,post,long,295949.524098467,447,5.05850215282415
31730,post,separator,301996.143645074,NaN,NaN
31730,post,short,333148.914871816,780,4.00187582872735
31730,post,short,341160.395448222,555,3.64855813385473
31730,post,short,347842.483584222,506,NaN
31730,post,short,359273.228000566,554,7.21016192426791
31730,post,short,365519.30508184,512,6.9299708479962
31730,post,short,372317.367502488,498,6.2442259701929
31730,post,short,378898.038876419,715,6.08243263426496
31730,post,short,385323.22867213,672,5.28305982903875
31730,post,short,391725.713299251,429,NaN
31730,post,short,402462.029401842,497,6.90803529201606
31730,post,short,408646.247579409,590,5.98824150652453
31730,post,short,414943.421560984,480,5.41405623762713
31730,post,short,421158.505984422,638,5.02671936667503
31730,post,short,427505.891192484,465,NaN
31730,post,short,438244.675093605,464,6.98981998174397
31730,post,short,444379.211394775,731,6.27758765961698
31730,post,short,451204.103964359,606,5.47304888560661
31730,post,short,457522.681466347,779,4.35101094416226
31730,post,short,464536.429557329,522,3.97478761863925
31730,post,short,470811.547416733,770,NaN
31730,post,short,481890.320636043,632,7.22337435201897
31730,post,short,488286.876147091,556,6.5121059098653
31730,post,short,494569.667212609,581,5.80530051356836
31730,post,short,500879.968681436,506,5.41000881309427
31730,post,short,507077.108531781,572,NaN
31730,post,short,517487.27940125,564,7.32750369625704
31730,post,short,523739.360260663,552,6.62862287543647
31730,post,short,530588.01235361,496,6.15985798473391
31730,post,short,537385.18080466,1105,5.83976528051959
31730,post,short,544562.653323885,530,5.50773448364687
31730,post,short,551256.113401012,682,4.57217419615823
31730,post,short,558205.926666842,640,NaN
31730,post,short,568754.374051417,1064,7.31623490320431
31730,post,short,575595.826588071,569,6.9188779165041
31730,post,short,582506.568681594,506,6.45131028309202
31730,post,short,588735.180765156,632,5.76904625818043
31730,post,short,595156.468381603,545,5.27192165983175
31730,post,short,601482.028564364,648,4.77394231814451
31730,post,short,607831.400415422,645,NaN
31730,post,short,618270.147499059,639,6.66429096832572
31730,post,short,624621.999789841,529,6.56049468086238
31730,post,short,630867.301017695,532,5.9843315346171
31730,post,bad,637060.392129908,NaN,NaN
