subid,stress_cond,env,trial_time,reaction_time,reward
47324,post,long,0,453,6.83170664305237
47324,post,long,11601.0185643863,413,6.41432955640201
47324,post,long,17596.5032871063,368,5.54606192817865
47324,post,long,23562.7809209582,562,NaN
47324,post,long,33888.8661084002,461,6.50173254271027
47324,post,long,40006.6038399218,416,5.95254037909134
47324,post,long,46613.605245464,1531,NaN
47324,post,long,57948.30106273,448,6.70319175254962
47324,post,long,64105.2904986391,406,5.98328040421366
47324,post,long,70135.3496831398,749,NaN
47324,post,long,80646.9436352763,415,7.11416773466725
47324,post,long,88396.9509434683,513,6.84583540330579
47324,post,long,94539.918527491,398,NaN
47324,post,long,104667.128070329,518,7.20818137819701
47324,post,long,112215.892274886,780,6.2307305847511
47324,post,long,118892.417099431,465,NaN
47324,post,long,129538.562759193,456,7.1119832298505
47324,post,long,135621.196283804,413,6.84453845927313
47324,post,long,141647.131673069,1039,NaN
47324,post,long,152378.808851681,545,6.93554186377187
47324,post,long,158540.663172957,450,6.40050307441997
47324,post,long,164624.338411144,537,6.25990178374068
47324,post,long,170734.162753821,1030,NaN
47324,post,long,181877.818097926,496,7.15085147279196
47324,post,long,188014.453627746,778,6.64021037224711
47324,post,long,194427.472716743,1165,NaN
47324,post,long,205331.546579253,383,7.4174574972227
47324,post,long,211278.976979591,563,7.01280281722353
47324,post,long,217416.043495195,421,6.47539139875623
47324,post,long,223941.133109425,648,NaN
47324,post,long,234333.89823679,514,7.16603395983165
47324,post,long,240439.707024476,707,6.7425761303656
47324,post,long,247663.048519282,663,6.37763027897689
47324,post,long,253956.972133274,515,NaN
47324,post,long,264185.995055712,670,7.23872562980707
47324,post,long,270437.958589022,397,6.3831493133402
47324,post,long,276451.839412564,539,NaN
47324,post,long,286706.302347391,548,6.91979128745201
47324,post,long,294169.758624259,467,6.28617136806773
47324,post,long,300223.832526272,489,NaN
47324,post,separator,310415.098960815,NaN,NaN
47324,post,short,341579.815722962,397,6.97779294778128
47324,post,short,347612.627922981,450,6.28352696826745
47324,post,short,353741.583926087,139,NaN
47324,post,short,378681.819510581,521,6.58064041781632
47324,post,short,385631.182038756,431,NaN
47324,post,short,411068.921777067,372,6.89847566794607
47324,post,short,417809.41223968,389,6.76708889209615
47324,post,short,423845.066338628,567,NaN
47324,post,short,449250.888636592,747,7.11677692906413
47324,post,short,455694.192871471,631,6.81483483737718
47324,post,short,461969.897756424,547,NaN
47324,post,short,487358.507090526,513,7.1789207842151
47324,post,short,493553.547317182,471,NaN
47324,post,short,518826.41583373,466,6.86810013615371
47324,post,short,524970.522705564,466,6.3129308951864
47324,post,short,531490.250872441,496,NaN
47324,post,short,556821.447843609,481,7.04491199685561
47324,post,short,563551.93912,484,NaN
47324,post,short,588840.882102673,464,7.09640714467658
47324,post,short,595584.479139261,585,6.60222986116842
47324,post,short,601815.036386894,481,NaN
47324,post,short,627091.852512003,1232,7.29941229012467
47324,post,short,633948.609981962,547,NaN
47324,post,bad,659237.820799983,NaN,NaN
47324,post,bad,680376.439022424,NaN,NaN
47324,post,bad,701465.211032921,NaN,NaN
