subid,stress_cond,env,trial_time,reaction_time,reward
47204,pre,long,0,563,6.93353286110462
47204,pre,long,7731.06830327379,699,6.30196407381317
47204,pre,long,14694.4911464561,1031,6.11776694872
47204,pre,long,21996.4588988933,1276,5.54766284025527
47204,pre,long,29687.6736182439,598,4.86171810228592
47204,pre,long,37547.7045258467,613,4.23685464727983
47204,pre,long,44266.0609714094,1012,4.00673470937258
47204,pre,long,51488.886457224,8619,3.74851875166045
47204,pre,long,66370.0727181931,5435,3.18638911504151
47204,pre,long,78341.1813783277,765,2.32872591831405
47204,pre,long,85679.3063645,1887,1.96811883790491
47204,pre,long,97168.0924826269,4978,1.15925376820865
47204,pre,long,108545.803613471,3496,0.608206788450921
47204,pre,long,118790.307480082,7712,0
47204,pre,long,133184.992115084,7076,0
47204,pre,long,147227.367212659,1015,NaN
47204,pre,long,160107.156626962,961,6.80886774588556
47204,pre,long,169454.990013493,820,6.31196838840571
47204,pre,long,177360.90946727,1351,5.97877990060148
47204,pre,long,185043.054954223,17744,5.34034739903324
47204,pre,long,209542.318607451,4654,4.93338668713837
47204,pre,long,220552.146308626,581,4.31542820966823
47204,pre,long,227906.039939702,597,3.90761954553925
47204,pre,long,235163.916163918,1379,3.63911766583374
47204,pre,long,242313.259851404,736,2.97697693850381
47204,pre,long,249294.801802627,563,2.02575724975276
47204,pre,long,256184.989349835,564,1.71312889690144
47204,pre,long,263104.140133428,565,1.11606344400432
47204,pre,long,270261.233238631,948,0.107999633126216
47204,pre,long,277543.808287535,500,0
47204,pre,long,284406.985260423,563,NaN
47204,pre,long,296508.132207427,723,7.16427852861899
47204,pre,separator,304081.205538718,NaN,NaN
47204,pre,short,335300.390374399,1056,6.58125212637514
47204,pre,short,344575.645804562,766,5.64905497923403
47204,pre,short,351457.903402681,898,4.75871226524372
47204,pre,short,358485.334690149,644,4.35714783773447
47204,pre,short,365281.491860682,872,3.79470475274222
47204,pre,short,371862.113931491,1538,3.25702592328675
47204,pre,short,379128.180038366,598,2.97266854779328
47204,pre,short,386053.71657602,665,2.02672576272077
47204,pre,short,392923.732014018,696,1.09297057145604
47204,pre,short,399986.215224997,515,0.421828739963755
47204,pre,short,406713.165674862,582,0
47204,pre,short,413010.403268368,672,NaN
47204,pre,short,439260.777367292,656,6.6296470147592
47204,pre,short,447505.470456061,767,5.70688270146463
47204,pre,short,454468.972306409,788,5.07999576689925
47204,pre,short,461174.164973279,1673,4.7023420129112
47204,pre,short,469234.424527616,706,4.32029207416078
47204,pre,short,475673.711472156,788,4.13400158894848
47204,pre,short,482210.718427947,1180,3.93524109746135
47204,pre,short,489811.12626293,980,3.53543666159882
47204,pre,short,497928.302578477,580,3.17246974966494
47204,pre,short,504218.089796383,679,3.19981031512671
47204,pre,short,510679.992541724,637,2.60221194457074
47204,pre,short,517690.040672887,564,2.0849570101334
47204,pre,short,524654.205393344,680,1.65764026364941
47204,pre,short,531098.357994102,536,0.877882145326526
47204,pre,short,537959.138679695,664,0.527225026028464
47204,pre,short,544321.310681453,671,0.430660482412012
47204,pre,short,551890.255493368,465,0
47204,pre,short,558949.43857509,698,NaN
47204,pre,short,584986.398916653,696,6.86512794273756
47204,pre,short,592434.286186071,547,6.13553061841135
47204,pre,short,599397.282785603,579,5.69128265121326
47204,pre,short,605725.836843885,1713,5.24540396474481
47204,pre,short,613155.709689754,1428,4.9030292927244
47204,pre,short,622291.259121377,864,4.63936362678218
47204,pre,short,632045.703669408,637,4.08197164946108
47204,pre,bad,639115.466600511,NaN,NaN
