subid,stress_cond,env,trial_time,reaction_time,reward
47324,pre,long,0,531,7.5279798456817
47324,pre,long,9548.88232073426,956,6.9185615772648
47324,pre,long,16195.685322702,939,5.98377322342437
47324,pre,long,22792.0910355751,696,5.57782104705469
47324,pre,long,29192.9291468859,648,5.03224239211499
47324,pre,long,35534.1655980901,536,NaN
47324,pre,long,66241.9501257409,481,7.04791065690136
47324,pre,long,72416.1217125984,750,6.36958456818415
47324,pre,long,78869.8944381104,429,5.72484796106137
47324,pre,long,84957.8751887293,523,5.25314255912163
47324,pre,long,91156.3767329299,466,NaN
47324,pre,long,116411.604855168,548,7.14859249749933
47324,pre,long,122640.204297533,448,6.48044030543277
47324,pre,long,128727.719694116,1080,5.78514155872821
47324,pre,long,135487.476919941,485,5.09337230238994
47324,pre,long,141646.692391501,416,NaN
47324,pre,long,167133.293513565,598,6.996694883274
47324,pre,long,173381.751880181,513,6.62285807698542
47324,pre,long,179442.385377928,447,NaN
47324,pre,long,204700.936949665,852,7.06912660472535
47324,pre,long,211579.438857299,498,6.32497630118752
47324,pre,long,217713.115162089,429,6.08223848705247
47324,pre,long,223822.734875401,530,NaN
47324,pre,long,249628.147756623,996,7.08731028897061
47324,pre,long,256305.771180127,488,6.32571637789569
47324,pre,long,262469.766208977,531,5.71956397424882
47324,pre,long,269117.853082438,581,NaN
47324,pre,long,294504.659465925,515,6.86332802609783
47324,pre,separator,300665.925971574,NaN,NaN
47324,pre,short,331850.098719842,401,5.96820043278048
47324,pre,short,340312.713962123,589,NaN
47324,pre,short,351127.817900408,633,6.93391869959797
47324,pre,short,357460.245808061,674,6.57200412743514
47324,pre,short,363886.147856172,813,5.55756962798733
47324,pre,short,370405.672183759,368,NaN
47324,pre,short,380647.931623769,412,6.91024634071945
47324,pre,short,387595.650401397,436,6.48977126316789
47324,pre,short,393756.885699095,582,NaN
47324,pre,short,404219.649080393,455,6.66139708107001
47324,pre,short,410450.451251203,615,6.00837942007175
47324,pre,short,416831.917124318,572,NaN
47324,pre,short,427288.432199339,469,6.88816411072124
47324,pre,short,433502.43738065,415,6.28819829115725
47324,pre,short,439685.135059332,580,5.85301309062055
47324,pre,short,446047.267802953,513,NaN
47324,pre,short,456388.533486925,439,7.27331251331773
47324,pre,short,462570.880767447,846,6.87348368168295
47324,pre,short,469151.913205547,1115,6.17032410789475
47324,pre,short,475997.109116435,590,NaN
47324,pre,short,486443.486347114,462,7.04908298608174
47324,pre,short,492661.48377621,1012,6.49204865467975
47324,pre,short,499455.770824594,480,NaN
47324,pre,short,510214.502928413,449,6.95196652334865
47324,pre,short,516392.303328665,815,6.44308173907191
47324,pre,short,522911.32082329,671,NaN
47324,pre,short,533417.211620736,498,7.14173755568013
47324,pre,short,539630.472551618,631,6.51059731369015
47324,pre,short,545946.216055425,465,NaN
47324,pre,short,556220.943222857,480,6.98595581714235
47324,pre,short,562435.666582129,711,6.50715629863391
47324,pre,short,568849.051475741,497,NaN
47324,pre,short,579178.272469924,430,7.18100143346495
47324,pre,short,585311.166600695,388,6.74901090528728
47324,pre,short,591421.271024878,563,NaN
47324,pre,short,601815.662916182,551,6.6047024410165
47324,pre,short,608079.879719018,564,NaN
47324,pre,short,618493.176519294,414,6.94834313947883
47324,pre,short,624637.741634491,480,6.73467555072846
47324,pre,short,630836.212760814,456,NaN
47324,pre,bad,641128.57084166,NaN,NaN
