subid,stress_cond,env,trial_time,reaction_time,reward
48238,post,long,0,512,7.03486199857096
48238,post,long,7335.75483724599,480,6.27504326527665
48238,post,long,13963.9148642982,440,5.94071890352149
48238,post,long,20529.0444178536,506,5.40322587069019
48238,post,long,27178.6088592362,428,4.96973447903375
48238,post,long,33186.1060534175,1,NaN
48238,post,long,57960.1405891808,531,7.10497600117506
48238,post,long,64755.9741908153,846,6.99252205805158
48238,post,long,71522.1429539288,564,6.61262829098771
48238,post,long,78233.5266559658,748,6.39434006541639
48238,post,long,84643.6837778456,623,6.05463745742807
48238,post,long,90959.1284798171,814,5.45416814628322
48238,post,long,97422.6698275652,1237,5.06477347777905
48238,post,long,104256.694558273,730,4.53526380323009
48238,post,long,111065.577338863,880,4.20247776255214
48238,post,long,117645.591062781,855,3.88639099213357
48238,post,long,124677.494630329,514,NaN
48238,post,long,150316.928496963,564,6.35385882933962
48238,post,long,156644.020752587,529,5.72309737290076
48238,post,long,162777.502254728,213,5.03859638446942
48238,post,long,168637.171434813,448,4.37434586891053
48238,post,long,174703.713477449,48,3.6758028681928
48238,post,long,180832.46153135,349,3.34399503695852
48238,post,long,186846.561534234,540,3.02276380937862
48238,post,long,193460.283003476,529,2.86266593710385
48238,post,long,199612.81562741,264,NaN
48238,post,long,224644.966889169,2,7.26951898577947
48238,post,long,231212.507412061,1,6.96146157355813
48238,post,long,237672.431713234,2,6.282391560418
48238,post,long,243302.362339102,2,6.13696493114305
48238,post,long,249349.221185401,1,5.89160330840022
48238,post,long,254963.679811579,419,5.52315437085542
48238,post,long,260995.774186627,2,5.25675737621069
48238,post,long,266659.984585282,1,4.65432584102264
48238,post,long,272260.946049672,1,4.12691993538492
48238,post,long,277888.2748987,149,4.05633392670112
48238,post,long,283617.217236515,1,3.62057244442994
48238,post,long,289314.550316491,2,2.90688949114668
48238,post,long,295360.53097422,1,2.19241119183577
48238,post,separator,300940.09513512,NaN,NaN
48238,post,short,332144.461427059,1,1.57822323766661
48238,post,short,339062.691128478,814,0.922004058006595
48238,post,short,346037.425133733,2,NaN
48238,post,short,356581.46275481,1,7.4893007680988
48238,post,short,363067.483043613,158,7.18992380673463
48238,post,short,368913.96201311,1,6.73125635693612
48238,post,short,374658.961414614,1,NaN
48238,post,short,384504.254059202,2,6.44279649922895
48238,post,short,390248.093208873,1,5.74487302737236
48238,post,short,395934.88091518,662,NaN
48238,post,short,408640.891193503,1,6.84508656248384
48238,post,short,414925.846199671,2,6.68109275391586
48238,post,short,420636.893717061,1,6.03656118215599
48238,post,short,426336.192943914,1,5.74225305232264
48238,post,short,432027.977989585,31,5.47760681825531
48238,post,short,437730.232559976,1,5.00198190517407
48238,post,short,443822.006228304,1,NaN
48238,post,short,453617.51549669,1,7.25424875455131
48238,post,short,459280.463326442,1,6.83578836572167
48238,post,short,465461.34133329,1,6.22762205353908
48238,post,short,471164.632505934,1,5.39449393803165
48238,post,short,476891.99465739,1,4.60061623355517
48238,post,short,482558.751921408,1,3.94375078267234
48238,post,short,488268.561362784,136,NaN
48238,post,short,498218.923758774,1,7.19602503196698
48238,post,short,504493.106239484,482,7.16580983350512
48238,post,short,511796.679001338,2,6.57908787980587
48238,post,short,517543.085953841,1,6.38374385896102
48238,post,short,523318.999726232,1,6.21876853455554
48238,post,short,529004.242405328,3753,5.60593084107761
48238,post,short,538495.090953551,1,4.95481754945354
48238,post,short,544229.779244015,1,4.82175435260487
48238,post,short,549903.666308886,1,4.41652668963494
48238,post,short,555723.926036217,1,4.097374903434
48238,post,short,561539.663665233,1,4.32936948563895
48238,post,short,567265.982103599,1,3.85944739088355
48238,post,short,572943.013739325,1,3.30533176815913
48238,post,short,578662.446120583,722,2.84529798783036
48238,post,short,585073.791542605,1,NaN
48238,post,short,595349.762004182,2,6.94630078135154
48238,post,short,602761.961911978,1414,6.69848568382211
48238,post,short,611280.85402752,1,6.04148137208291
48238,post,short,617024.996968017,3,5.50155860889559
48238,post,short,622736.102952302,1,5.09624573975171
48238,post,short,628383.132774763,1,4.29243737198607
48238,post,bad,634115.032431349,NaN,NaN
