block,patch_position,aperiodic_exponent,beta_power
post-stress,early,1.2521421803275976,1.00311287112754e-12
post-stress,late,1.1960119817242472,8.860287958630269e-13
post-stress,leave,0.9767689529227971,7.200408482414555e-13
post-stress,mid,1.10758798743441,8.298469911625282e-12
pre-stress,early,1.4076854730321962,7.629652478277155e-13
pre-stress,late,1.3716118635106591,4.638054771499624e-13
pre-stress,leave,1.080657736250482,4.1032417661888137e-13
pre-stress,mid,1.243856656401326,5.191889954788746e-13
