block,patch_position,aperiodic_exponent,beta_power
post-stress,early,1.8556140942845027,8.693198255136953e-14
post-stress,late,1.9621161257776853,8.851103398826138e-14
post-stress,leave,1.4641619871829852,8.831665308526728e-14
post-stress,mid,1.7638853786677149,8.890194330093325e-14
pre-stress,early,1.8118266746125091,1.2359701826441342e-13
pre-stress,late,1.7660040208448062,1.2870153210908366e-13
pre-stress,leave,1.4968843412838015,1.290714354131507e-13
pre-stress,mid,1.7521979206513676,1.2838759107650134e-13
